આફ્રિકા	Африка
નરસિંહ	Нарасимха
સોલાપૂર	Солапур
કલ્પના ચાવલા	Чавла, Калпана
દાંડી સત્યાગ્રહ	Соляной поход
શિવાજી	Шиваджи
મધ્યમ વર્ગ	Средний класс
વસિષ્ઠ	Васиштха
મરીચિ	Маричи
સહરાનપુર	Сахаранпур
જેસલમેર	Джайсалмер
બોરડી	Зизифус настоящий
ભાવનગર	Бхавнагар
ઝાંસી	Джханси (город)
મખમલ	Бархат
ધનબાદ	Дханбад
એશિયન રમતોત્સવ ૨૦૧૦	Летние Азиатские игры 2010
ગોરખપુર	Горакхпур
લાલ બહાદુર શાસ્ત્રી	Шастри, Лал Бахадур
રાજ્ય સભા	Раджья сабха
મીઠો લીમડો	Муррайя Кёнига
ઇવૂડ્ પાર્ક	Ивуд Парк
ઈંડિયા ગેટ	Ворота Индии
ઈન્દ્રકુમાર ગુજરાલ	Гуджрал, Индер Кумар
બ્રાઉનિંગ હાઇ-પાવર	Browning Hi-Power
ગયા	Гая
ચંદ્રવંશી	Лунная династия
હેલોવીન	Хэллоуин
સૈફ અલી ખાન	Хан, Саиф Али
ફિફા	ФИФА
પેટન્ટ	Патент
આઈવાના બ્રલિચ માઝુરાનિચ	Брлич-Мажуранич, Ивана
અમરેલી જિલ્લો	Амрели (округ)
મોગા (પંજાબ)	Мога (город, Индия)
જુવાર	Пшено
ક્ષેત્રફળ પ્રમાણે વિશ્વના દેશોની યાદી	Список государств и зависимых территорий по площади
સાંઇબાબા	Саи Баба из Ширди
સન્ની લિઓન	Санни Леоне
કોયલ કુટુંબ	Коэли
કસ્તુરબા	Ганди, Кастурба
ઈન્દ્રા નૂયી	Нуйи, Индра
આરણ્યક ગ્રંથો	Араньяки
દૈયડ	Сорочий шама-дрозд
જીન્દ જિલ્લો	Джинд (округ)
આશ્રમશાળા	Школа-интернат
અમરાવતી	Амравати
અમેરિકન ગૅંગ્સ્ટર	Гангстер (фильм, 2007)
વર્ચ્યુઅલાઈઝેશન	Виртуализация
મહા નદી	Маханади
દિલ્હી મેટ્રો રેલ	Метрополитен Дели
વિંધ્યાચલ	Виндхья
દિસપુર	Диспур
ભારતમાં સત્તાવાર દરજ્જો ધરાવતી ભાષાઓ	Список языков Индии
હરદ્વાર	Хардвар
લેંગકાવી	Лангкави
ઋજુ ઉદર સ્નાયુ	Прямая мышца живота
સાગુઆરો (થોર)	Карнегия
સીતાફળ	Сахарное яблоко
બાળપણ	Детство
માહે	Маэ (Индия)
કડ્ડલોર	Куддалор
શ્વેતાંબર	Шветамбары
યવતમાળ	Яватмал
ગઝલ	Газель (строфа)
શિમોગા	Шимога
સફેદ પીઠ ગીધ	Африканский гриф
ખેરખટ્ટો	Индийская древесная сорока
ઓલિવ રિડલી દરીયાઈ કાચબો	Оливковая черепаха
બાબા રામદેવ	Свами Рамдев
એબીએન એમ્રો	ABN AMRO
ચંપાવત જિલ્લો	Чампават (округ)
લારા દત્તા	Датта, Лара
ટિલોર	Вихляй
એકે ૧૦૧	Автоматы Калашникова «сотой серии»
એસ્ટ્રોસેટ	Astrosat
માડીકેરી	Мадикери
વેલ્લોર	Веллуру
ઇડ્ડક્કિ જિલ્લો	Идукки
વલસાડ	Валсад
એરન સ્વાર્ટઝ	Шварц, Аарон
બૌઢ	Баудх
હોશિયારપુર જિલ્લો	Хошиарпур (округ)
મિડાસ	Мидас
કાટવર્ણી ટપકાંવાળી બિલાડી	Ржавая кошка
આમળાં	Филлантус эмблика
નેપોલિયન હિલ	Хилл, Наполеон
કનિષ્ક	Канишка I
સંત કબીર	Кабир
નથુરામ ગોડસે	Годзе, Натхурам
મહેશ ભૂપતિ	Бхупати, Махеш
લોકમાન્ય ટિળક	Тилак, Бал Гангадхар
ગુરુ ગોવિંદસિંહ	Сингх, Гобинд
તુલસીદાસ	Тулсидас
ગોપાલ કૃષ્ણ ગોખલે	Гокхале, Гопал Кришна
ભારતના રાષ્ટ્રપતિ	Президент Индии
ડોનાલ્ડ બ્રેડમેન	Брэдмен, Дональд
કૂચબિહાર	Куч-Бихар
જગદીશચંદ્ર બોઝ	Боше, Джагдиш Чандра
બાંદ્રા-વરલી સમુદ્રસેતુ	Морской мост Бандра — Ворли
ગુલઝારીલાલ નંદા	Нанда, Гулзарилал
સેલ્વાસ	Силвасса
સલામત મૈથુન	Безопасный секс
ઇન્વેસ્ટમેન્ટ બેન્કિંગ	Инвестиционный банк
બુકર ટી.વોશિંગ્ટન	Вашингтон, Букер Талиафер
કાબરો કલકલીયો	Малый пегий зимородок
જમશેદજી તાતા	Тата, Джамшеджи
દેવ આનંદ	Ананд, Дев
પેરુ (ફળ)	Псидиум
બદામી વાઘોમડા	Бурая олуша
અભિમન્યુ	Абхиманью
અભિનવ બિંદ્રા	Биндра, Абхинав
અરીઠાં	Мыльное дерево
કોલ્લમ	Коллам
ઓદાલગુરિ જિલ્લો	Удалгури (округ)
ભારત રત્ન	Бхарат Ратна
ઘી	Гхи
સારનાથ	Сарнатх
સ્વાટ	SWAT
ચંદ્ર યાન	Чандраян-2
રાકેશ શર્મા	Шарма, Ракеш
દાલ સરોવર	Дал (озеро)
હોમી ભાભા	Баба, Хоми Джехангир
ભારતીય સિનેમા	Кинематограф Индии
મેરી કોમ	Мэри Ком
બાંયધરી (વોરંટી)	Гарантия
ઓમ શાંતિ ઓમ	Когда одной жизни мало
વ્યાસ	Вьяса
કોટા	Кота (Раджастхан)
મુરાદાબાદ	Морадабад
ભીમ બેટકાની ગુફાઓ	Скальные жилища Бхимбетка
સામાન્ય તપાસની કક્ષાની બહારનું	Паранормальные явления
શંકર દયાલ શર્મા	Шарма, Шанкар Даял
અમરીશ લાલ પુરી	Пури, Амриш
રાજા રવિ વર્મા	Рави Варма
રતન તાતા	Тата, Ратан
ભરતનાટ્યમ	Бхаратанатьям
આર. કે. નારાયણ	Нарайан Разипурам Кришнасвами
અબુલ ફઝલ	Абу-л Фазл Аллами
પેપ્સીકો	PepsiCo
ગ્યાની ઝૈલસીંઘ	Сингх, Заил
રાહુલ બોસ	Бозе, Рахул
રાજા રામમોહનરાય	Рам Мохан Рой
ગીર રાષ્ટ્રીય ઉદ્યાન અને અભયારણ્ય	Гирский лес
રજપુત	Раджпуты
દિવેલ	Касторовое масло
ગુરુદ્વારા	Гурдвара
ઉત્તર ૨૪ પરગણા જિલ્લો	Северные 24 парганы
નોબેલ પારિતોષિક વડે સન્માનીત મહાનુભાવો	Нобелевские премии по году вручения
સમય વ્યવસ્થાપન	Управление временем
આદિવાસી	Адиваси
અડદ	Урд
સયૌં થુંગા ફુલકા	Гимн Непала
ક્રેડિટ સૂઈસ	Credit Suisse
કૃત્રિમ પેસમેકર	Электрокардиостимулятор
રાયપુર (છત્તીસગઢ)	Райпур
ચિત્તાગોંગ	Читтагонг
દિલીપ કુમાર	Дилип Кумар
ભગત સિંહ	Сингх, Бхагат
મેઘનાદ સહા	Саха, Мегнад
સી રાજગોપાલાચારી	Чакраварти Раджгопалачария
કરૌલી	Караули
ધર્મેન્દ્ર	Дхармендра
થાઇલેન્ડનો ઇતિહાસ	История Таиланда
મીથુન ચક્રવર્તી	Чакраборти, Митхун
રાજધાની એક્ષપ્રેસ	Rajdhani Express
ક્રિયાવિશેષણ	Наречие
મોતીલાલ નહેરૂ	Неру, Мотилал
માર્કો કાસાગ્રાન્ડ	Касагранде, Марко
અઝીમ પ્રેમજી	Премжи, Азим
ઊર્જા બચત	Энергосбережение
વિડિયો કેસેટ રેકોર્ડર (વીસીઆર)	Видеомагнитофон
કાર્તિકેય	Сканда
મોલિનીઊ સ્ટેડિયમ	Молинью (стадион)
સોજી	Манная крупа
અનિલ અંબાણી	Амбани, Анил
અગસ્ત્ય	Агастья
યુઇએફએ યૂરો ૨૦૧૨ સમયક્રમ	Чемпионат Европы по футболу 2012. Плей-офф
માથ્થીની લખેલી સુવાર્તા	Евангелие от Матфея
કૌસ્તુભ	Каустубха
અગ્નિ	Агни
માગશર	Маргаширша
અમદાવાદ જિલ્લો	Ахмадабад (округ)
સરદાર વલ્લભભાઈ પટેલ આંતરરાષ્ટ્રીય હવાઈ મથક	Международный аэропорт имени Сардара Валлабхай Пателя
અહમદનગર જિલ્લો	Ахмеднагар (округ)
કારગિલ યુદ્ધ	Каргильская война
ડાર્ટ (પ્રોગ્રામિંગ ભાષા)	Dart
એર ઈન્ડિયા ફ્લાઇટ ૧૮૨	Взрыв Boeing 747 над Атлантикой
એર ઇન્ડિયા એક્સપ્રેસ	Air-India Express
અજમેર જિલ્લો	Аджмер (округ)
અજમો	Ажгон
કારેલું	Момордика харанция
સાંગલી	Сангли
જન્માષ્ટમી	Кришна-джанмаштами
જલ (બેન્ડ)	Jal
લોપકચિહ્ન	Апостроф
સુવર્ણ મંદિર	Золотой храм
અલવાર જિલ્લો	Алвар (округ)
અમરનાથ (તીર્થધામ)	Амарнатх
આંબેડકર નગર જિલ્લો	Амбедкарнагар
આમેરનો કિલ્લો	Амбер (Индия)
ઝિટ્ટારા	TAR-21
ફેડએક્સ	FedEx
હસ્તિનાપુર	Хастинапур
સોલન	Солан
દમણ	Даман (город)
નિલગીરી માઉન્ટેઇન રેલ્વે	Горная железная дорога Нилгири
દાર્જીલીંગ હિમાલયન રેલ્વે	Дарджилингская железная дорога
સાયના નેહવાલ	Нехвал, Саина
પૂર્વ ઘાટ	Восточные Гаты
મીરા નાયર	Наир, Мира
મીરાંબાઈ	Мирабай
મહાદેવી વર્મા	Махадеви Варма
અલકા યાજ્ઞિક	Ягник, Алка
ગુરુ હરકિશન	Гуру Хар Кришан
કેન્દ્રશાસિત પ્રદેશ	Союзные территории Индии
વેરાઇઝન કમ્યુનિકેશન્સ	Verizon Communications
જીમ કોર્બેટ	Корбетт, Джим
સંત તુકારામ	Тукарам
ધીરુભાઈ અંબાણી	Амбани, Дхирубхай
ચેસ્ટર કાર્લસન	Карлсон, Честер
તાનસેન	Тансен Миян
રામફળ	Кремовое яблоко
બળદ	Вол
કારતક	Картика
કલ્કિ	Калки
વિશ્વકર્મા	Вишвакарман
ભારતનું બંધારણ	Конституция Индии
નવરોઝ	Новруз
શૈલી	Жанр
એશિયાઈ રમતોત્સવ	Азиатские игры
એલન શીયરર	Ширер, Алан
અનુકૂલન	Адаптация (биология)
એલિસ ઇન ચેઇન્સ	Alice in Chains
ગુરુ	Гуру
એન્ડ્રુ કાર્નેગી	Карнеги, Эндрю
મગ	Маш
ઇ-કોમર્સ	Электронная коммерция
ઔરંગઝેબ	Аурангзеб
રાની મુખર્જી	Мукерджи, Рани
આણંદ જિલ્લો	Ананд (округ)
હુમાયુ	Хумаюн
દુનિયાની પ્રાચીન સાત અજાયબીઓ	Семь чудес света
ગંગાનગર	Шри-Ганганагар
સમોસા	Самса
મઊ	Мау (Уттар-Прадеш)
ડી. ડબલ્યુ. સ્ટેડિયમ	Ди-дабл-ю
ચોળા	Коровий горох
કાલિમપોંગ	Калимпонг
બ્રિટાનિયા સ્ટેડિયમ	Британия (стадион)
ઋષિકેશ	Ришикеш
વર્ણકોષાશય	Хроматофор
રાયડો	Горчица сарептская
માનસ રાષ્ટ્રીય ઉદ્યાન	Манас (национальный парк, Индия)
ઇલેક્ટ્રોમાયોગ્રાફી	Электромиография
દેશી કાગડો	Блестящий ворон
જંતર મંતર	Джантар-Мантар
મણિપુરી નૃત્ય	Манипури (танец)
કવ્વાલી	Каввали
બકરી ઈદ	Курбан-байрам
પેરેન જિલ્લો	Перен (округ)
વિશ્વ ક્ષય દિન	Всемирный день борьбы против туберкулёза
અલોંગ	Алонг
અકોલા જિલ્લો	Акола (округ)
ગડગ	Гадаг-Бетигери
આંકડો (વનસ્પતિ)	Калотропис гигантский
સિરસા જિલ્લો	Сирса (округ)
આઝમગઢ	Азамгарх
રીવા જિલ્લો	Рева (округ)
ગુલાબી પેણ	Розовоспинный пеликан
રોનાલ્ડો	Роналдо
સુંદરવન	Сундарбан (национальный парк)
બાવળ	Гуммиарабик
ઝાલાવાડ	Джхалавар
અંગિરસ	Ангирас
રાજૌરી જિલ્લો	Раджоури (округ)
લિમ્બો(પ્રોગ્રામિંગ ભાષા)	Limbo
ઉધઈ	Термиты
હુગલી જિલ્લો	Хугли (округ)
નાશ પામેલા કપોત	Дронтовые
સારાવાક ગુફા	Грот Саравак
જનરલ સામ માણેકશા	Манекшоу, Сэм
ભરતપુર	Бхаратпур (Индия)
વિશ્વ મહાસાગરો દિવસ	Всемирный день океанов
ચિત્તરંજનદાસ	Дас, Читтаранджан
સેન્ટ મેરી સ્ટેડિયમ	Сент-Мэрис (стадион)
દૂધરાજ	Райская мухоловка
કદંબ	Neolamarckia cadamba
કપિલ	Капила
વડોદરા જિલ્લો	Вадодара (округ)
ઉત્તર કન્નડ જિલ્લો	Северная Каннада
પાટણ	Патан (город, Гуджарат)
ગોલપારા	Гоалпара
લિબર્ટી સ્ટેડિયમ	Либерти (стадион)
સાતારા	Сатара
શીખ	Сикхи (народ)
ઔરૈયા	Аурайя
અકબરપુર	Акбарпур (Рамабайнагар)
ઉડ્ડપી	Удипи
એલેપ્પી	Аллеппи
નયાગઢ	Наягарх
અરાહ	Аррах (Индия)
બદ્રીનાથ	Бадринатх
અલમોડા	Алмора
અરિયાલુર	Ариялур
અમરેલી	Амрели
ઔરંગાબાદ, બિહાર	Аурангабад (город, Бихар)
ફેક જિલ્લો	Пхек (округ)
મૈસૂર જિલ્લો	Майсур (округ)
ઔરંગાબાદ જિલ્લો	Аурангабад (округ, Махараштра)
બુરહાનપુર	Бурханпур
કુરુક્ષેત્ર	Курукшетра
સિટી ગ્રાઉન્ડ	Сити Граунд
પીલ ડિસ્ટ્રિક્ટ સ્કૂલ બોર્ડ	Школьный совет Района Пил (Онтарио, Канада)
રાજસમન્દ જિલ્લો	Раджсаманд (округ)
ખીલ (રોગ)	Пустула
સરસ્વતી લિપિ	Письменность долины Инда
શ્યામમુખ વાઘોમડા	Голуболицая олуша
મધિયો	Хохлатый осоед
વેલી ઓફ ફ્લાવર્સ રાષ્ટ્રીય ઉદ્યાન	Долина Цветов
હિતોપદેશ	Хитопадеша
આગ્રા જિલ્લો	Агра (округ)
સોનભદ્ર જિલ્લો	Сонбхадра
કરનાલ જિલ્લો	Карнал (округ)
તિરુવલ્લુર	Тируваллур
કાંકેર	Канкер
કાનપુર દેહાત જિલ્લો	Рамабайнагар
પશ્ચિમ સિક્કિમ જિલ્લો	Западный Сикким
વૈષ્ણોદેવી (જમ્મુ અને કાશ્મીર)	Вайшно-деви
કૈથલ જિલ્લો	Кайтхал (округ)
કન્નોજ	Каннаудж
સોનાક્ષી સિંહા	Синха, Сонакши
જનમેજય	Джанамеджая
એલેન્ડ રોડ	Элланд Роуд
કિંગ પાવર સ્ટેડિયમ	Кинг Пауэр (стадион)
શ્યોપુર જિલ્લો	Шеопур (округ)
ઉમરિયા જિલ્લો	Умария (округ)
હોશંગાબાદ જિલ્લો	Хошангабад (округ)
દહીં	Калье
પ્રિફર્ડ સ્ટોક	Привилегированная акция
બાગપત	Багхпат
ઓનલાઈન વિજ્ઞાપન	Интернет-реклама
અરવલ્લી	Аравали
કન્નોજ જિલ્લો	Каннаудж (округ)
કે સી સ્ટેડિયમ	Кей Си (стадион)
સાબરમતી નદી	Сабармати
જબલપુર જિલ્લો	Джабалпур (округ)
તુવેર	Голубиный горох
બલાંગીર	Балангир
વાંસવાડા	Бансвара
દીમાપૂર જિલ્લો	Димапур (округ)
અરમાની	Giorgio Armani
ડેરી	Молочное хозяйство
બહરૈચ	Бахрайч
ગોડ્ડા જિલ્લો	Годда (округ)
માહે જીલ્લો	Маэ (округ)
અર્ધનારીશ્વર	Ардханари
ઓરાઇ	Орай (город)
બાલેશ્વર	Баласор
આસો	Ашвина
હિલ્સબોરો સ્ટેડિયમ	Хиллсборо (стадион)
ઉજળો ગીધ	Снежный гриф
માઇક્રોસોફ્ટ ઓફિસ ૨૦૦૭	Microsoft Office 2007
ભિવંડી	Бхиванди
એલિફન્ટાની ગુફાઓ	Элефанта
રતલામ	Ратлам
ખંભાતનો અખાત	Камбейский залив
સિરમૌર જિલ્લો	Сирмур (округ)
બાજરો	Африканское просо
સિમ્બાદ (SIMBAD)	SIMBAD
સાધુ	Садху
છત્રપુર	Чхатрапур
અપરિગ્રહ	Апариграха
કોટ્ટયમ	Коттаям
હીજડા	Хиджра (каста)
ખોર્ધા જિલ્લો	Кхурда (округ)
ઝીરો, અરુણાચલ પ્રદેશ	Зиро
મહિષાસુર	Махишасура
મસૂરી	Массури
તાપી જિલ્લો	Тапи (округ)
ઘંટી	Жёрнов
શ્રીકાકુલમ	Шрикакулам
પદ્મવિભૂષણ	Падма Вибхушан
સ્વિસ બેંક	Банковская система Швейцарии
માચુ પીચુ	Мачу-Пикчу
વિપશ્યના	Випассана
તેલંગાણા	Телангана
ટ્રાન્સપોર્ટ ફોર લંડન	Transport for London
શ્રીમદ્ ભાગવતમ્	Бхагавата-пурана
ટર્ફ મૂરે	Терф Мур
મહેન્દ્રગઢ જિલ્લો	Махендрагарх (округ)
પક્ષી અવલોકન	Наблюдение за птицами
ભદ્રક જિલ્લો	Бхадрак (округ)
વૃંદાવન	Вриндавана
ભારદ્વાજ	Бхарадваджа
રિંગટોન	Рингтон
માઉન્ટ આબુ	Маунт Абу
ચોલામંડલમ	Храмы Чола
ભારતીય સંસદ	Парламент Индии
તાપી નદી	Тапти (река)
વર્ધમાન	Бардхаман
બારિપદા	Барипада
બરગઢ	Баргарх
બસ્તી	Басти (округ)
એશિયાના દેશોની સૂચિ	Список государств и зависимых территорий Азии
૧૦૨ (અંક)	102 (число)
વાલ્મીકિ	Вальмики
લેડો રોડ	Дорога Ледо
આર્ય સમાજ	Арья-самадж
વાંદરું	Гульманы
કાંગડા જિલ્લો	Кангра (округ)
ઋગ્વેદ	Ригведа
ગાયત્રી	Гаятри-мантра
દેવરિયા જિલ્લો	Деория (округ)
ગુજરાતી લિપિ	Гуджарати (письмо)
હઠ યોગ	Хатха-йога
વેરિસાઇન	Verisign
વીંજ	Малая цивета
જયપ્રકાશ નારાયણ	Нараян, Джаяпракаш
વિશ્વ સંભાષણ અક્ષમતા જાણકારી દિન	Всемирный день распространения информации о проблеме аутизма
યેઘીશે ચારેન્ત્સ	Егише Чаренц
હુગલી નદી	Хугли (река)
ગ્લોક પિસ્તોલ	Глок (пистолет)
કેદારનાથ	Кедарнатх
ભારતીય જ્યોતિષવિદ્યા	Джьотиша
ડુંગરપુર	Дунгарпур
ઇન્દૌર જિલ્લો	Индор (округ)
ચિકમંગલૂર જિલ્લો	Чикмагалур (округ)
વેક્યૂમ પંપ	Вакуумный насос
કટની જિલ્લો	Катни (округ)
પુષ્કર	Пушкар
કાળો જળ કાગડો	Индийский баклан
પાપલેટ માછલી	Морские лещи
મમિત જિલ્લો	Мамит (округ)
કોણાર્ક સૂર્ય મંદિર	Храм солнца в Конараке
જળ માર્જર	Гладкошёрстная выдра
તાંગ્ગુલા રેલ્વે સ્ટેશન (તિબેટ)	Танг-Ла (железнодорожная станция)
વિશ્વ સાક્ષરતા દિન	Международный день грамотности
અશોક (વનસ્પતિ)	Ашока (растение)
માલદિવ્સ ના ટાપુઓ	Мальдивский архипелаг
અત્રિ	Атри (индуизм)
ભવાનીપટના	Бхаванипатна
ભદ્રક	Бхадрак
ભિલવાડા	Бхилвара
ભરૂચ	Бхаруч
ભાગલપુર	Бхагалпур
ધ્રુવ હેલીકોપ્ટર	HAL Dhruv
હાવેરી જિલ્લો	Хавери (округ)
અલીગઢ જિલ્લો	Алигарх (округ)
સાહિબગંજ જિલ્લો	Сахибгандж (округ)
સિંધુદુર્ગ જિલ્લો	Синдхудург (округ)
દક્ષિણ એશિયા	Южная Азия
નૈનિતાલ	Найнитал
રામનાથપુરમ	Раманатхапурам
ખેડા	Кхеда
ગંજામ જિલ્લો	Ганджам (округ)
વિલિયમ વિલ્સન(તરણશાસ્ત્રી)	Уилсон, Уильям
કપૂરથલા	Капуртхала
સ્વલૈંગિકૌત્તેજના	Нарциссизм (сексология)
કંપની (કાયદો)	Коммерческая организация
પૂજા ભટ્ટ	Бхатт, Пуджа
આઝમગઢ જિલ્લો	Азамгарх (округ)
અઝટેક ચિત્રલિપિ	Астекское письмо
ટાટા ટી	Tata Tea Limited
બિજનૌર	Биджнор
કાઠમંડુ જિલ્લો, નેપાળ	Катманду (район)
બાબર	Бабур
ભુજ	Бхудж
કોયલ	Коэль
બદૌન	Бадаюн
બલાંગીર જિલ્લો	Балангир (округ)
બનારસ હિંદુ યુનિવર્સિટી	Бенаресский индуистский университет
બનાસકાંઠા જિલ્લો	Банаскантха
વાંસવાડા જિલ્લો	Бансвара (округ)
વર્ધમાન જિલ્લો	Бардхаман (округ)
બરગઢ જિલ્લો	Баргарх (округ)
શિન્તો	Синтоизм
સમઘન	Куб
બીડ	Бид (город)
બીડ જિલ્લો	Бид (округ)
બેલગામ જિલ્લો	Белгаум (округ)
કરુર	Карур
સામાજિક સાહસિકતા	Социальное предпринимательство
દ્વારકા	Дварка
પત્તાદકલ	Паттадакал
તાલુકો	Техсил
ગંગોત્રી	Ганготри
સેન્ટ એન્ડ્રુ સ્ટેડિયમ	Сент-Эндрюс (стадион)
ભારતીય રેલ	Indian Railways
બ્રાહ્મણ ગ્રંથો	Брахманы (книги)
અરુણાચલ પ્રદેશના મુખ્યમંત્રીઓ	Список главных министров Аруначал-Прадеш
પરશુરામ	Парашурама
વેબ ઓન્ટોલોજિ ભાષા	Web Ontology Language
નાનો કરકરીયો	Индийская камышовка
હવા મહેલ	Хава-Махал
લાહૌલ અને સ્પીતી જિલ્લો	Лахул и Спити
કથકલી	Катхакали
સ્મૃતિ	Смрити
પુરુષનું પ્રજનનતંત્ર	Мужская половая система
એસ્કેરિયાસિસ	Аскаридоз
ડાંગર	Заливное поле
નારદ મુનિ	Нарада
કુંતી	Кунти
કચ્છનો અખાત	Качский залив
મછલીપટનમ	Мачилипатнам
ભારતીય તારક કાચબો	Звёздчатая черепаха
શરણાઈ	Шахнай
શિવરાત્રિ	Махашиваратри
ચંદ્રગુપ્ત પ્રથમ	Чандрагупта I
ધોતીયું	Дхоти
દત્તાત્રેય	Даттатрея
બુંદેલખંડ	Бунделкханд
વીઝેડ ૫૮	CZ SA Vz.58
ભગવદ્ ગીતા તેના મૂળ રૂપે	Бхагавад-гита как она есть
કાલ ભૈરવ	Бхайрава
ભજન	Бхаджан
ભરતપુર જિલ્લો	Бхаратпур (округ)
ભરૂચ જિલ્લો	Бхаруч (округ)
ભાવનગર જિલ્લો	Бхавнагар (округ)
ભૃગુ	Бхригу
વિશ્વ જનસંખ્યા દિન	Всемирный день народонаселения
રુદ્ર	Рудра
ઝભ્ભો	Курта (одежда)
વરૂ	Азиатский волк
આંતરરાષ્ટ્રીય નૃત્ય દિવસ	Международный день танца
પાંડુ	Панду
વરાહમિહિર	Варахамихира
ચંપાવત	Чампават
ચંદ્રપૂર	Чандрапур
બુંદી	Бунди
ચામરાજનગર જિલ્લો	Чамраджнагар (округ)
રાજગીર	Раджгир
ઘોરાડ	Индийская большая дрофа
ભારતનું પ્રવેશદ્વાર	Ворота в Индию
નોબેલ પારિતોષિક વડે સન્માનીત મહિલાઓ	Список женщин — лауреатов Нобелевской премии
કેદારનાથ જ્યોતિર્લિંગ	Храм Кедарнатха
કાર્ડિફ સિટી સ્ટેડિયમ	Кардифф Сити (стадион)
ટ્વેન્ટી20	Twenty20
ચૈતન્ય મહાપ્રભુ	Чайтанья
સંબલપુર	Самбалпур
ઈટાવા	Этавах
વેળાવદર કાળિયાર રાષ્ટ્રીય ઉદ્યાન	Велавадар (национальный парк)
ચેંગલોન્ગ	Чангланг
વસુદેવ	Васудева
દ્રોણ	Дрона
કાંશીરામ નગર જિલ્લો	Канширамнагар
ઉજ્જૈન જિલ્લો	Удджайн (округ)
બ્રહ્મોસમાજ	Брахмо-самадж
તુમકુર	Тумкур
ખનીજ તેલનું ઉત્પાદન કરતા દેશોની યાદી	Список стран по добыче нефти
દક્ષિણ અમેરિકાના દેશોની યાદી	Список государств и зависимых территорий Южной Америки
હૈલાકાંડી	Хайлаканди
મદદ:સૂચિ	Википедия:Справка
ટોંક જિલ્લો	Тонк (округ)
જ્ઞાનપીઠ એવોર્ડ	Джнянпитх
રાયચૂર	Райчур
વેદાંગ	Веданга
લક્ષ્મણ	Лакшмана
પાપડ	Пападам
ઢોસા	Доса
લોહરદગ્ગા	Лохардага
સીતાપુર	Ситапур
બિન-નિવાસી ભારતીય અને ભારતીય મૂળની વ્યક્તિ	Индийская диаспора
લઘુ ધિરાણ	Микрофинансирование
અરડૂસી	Юстиция сосудистая
હોશિયારપુર	Хошиарпур
એલેપ્પી જિલ્લો	Аллеппи (округ)
ગણેશ ચતુર્થી	Ганеша-чатуртхи
ગુના જિલ્લો	Гуна (округ)
વિશ્વ રક્તદાન દિવસ	Всемирный день донора крови
સ્વામિનારાયણ	Сахаджананда Свами
નાગલી	Дагусса
પદ્મભૂષણ	Падма Бхушан
શિંગોડા (ફળ)	Болотница сладкая
વિષ્ણુપુર જિલ્લો	Вишнупур (округ)
ઉન્નાવ	Уннао
સિરોહી	Сирохи
લોટસ ટેમ્પલ, દિલ્હી	Храм Лотоса
મોહિનીયટ્ટમ	Мохини-аттам
ખાખરો	Бутея односемянная
થાણા જિલ્લો	Тхане (округ)
ભારતીય રિઝર્વ બેંક	Резервный банк Индии
સિલચર	Силчар
પહાડી ભાષા	Пахари (языки)
સવાઇ માધોપુર	Савай-Мадхопур
વિષ્ણુ સહસ્રનામ	Вишну-сахасранама
ભારતીય વિજ્ઞાન સંસ્થા	Индийский научный институт
પદ્મશ્રી	Падма Шри
શોલે	Месть и закон
લાખ	Лакх
કથક	Катхак
જીમ કોર્બેટ રાષ્ટ્રીય ઉદ્યાન	Корбетт (национальный парк)
પાલનપુર	Паланпур
ગોરડ	Акация сенегальская
કોહિમા જિલ્લો	Кохима (округ)
મિર્જાપુર	Мирзапур (город, Индия)
કોપ્પલ જિલ્લો	Коппал (округ)
ફોર્બ્સ	Forbes
ઈડલી	Идли
હસન જિલ્લો	Хассан (округ)
મલપ્પુરમ	Малаппурам
વીણા	Вина (музыкальный инструмент)
તુલસી	Туласи
વાંસળી	Бансури
મારુતિ સુઝુકી	Maruti Suzuki India Ltd
રોહતક જિલ્લો	Рохтак (округ)
ગૂડિસન પાર્ક	Гудисон Парк
જગતસિંહપુર જિલ્લો	Джагатсингхпур (округ)
યમનોત્રી	Ямунотри
કુરુક્ષેત્ર જિલ્લો	Курукшетра (округ)
વર્ધા જિલ્લો	Вардха (округ)
ચિકમંગલુર	Чикмагалур
ફઇ ઝીઓ-તોગ	Фэй Сяотун
મૃણાલ સેન	Сен, Мринал
યુધિષ્ઠિર	Юдхиштхира
ગોરખનાથ	Горакшанатх
છિન્દવાડા	Чхиндвара
કોટા જિલ્લો	Кота (округ)
રાયબરેલી	Рай-Барели
રીવા	Рева (Индия)
ટોંક	Тонк
વરૂણ	Варуна
એલુર	Элуру
પલક્કડ	Палаккад
હુગલી ચુચુરા	Чинсура
મેદિનીપુર	Мидинипур
તવાંગ	Таванг (город)
માંડ્યા	Мандья
ઝુનઝુનુન	Джхунджхуну
સાગર	Сагар (Мадхья-Прадеш)
જગદાલપુર	Джагдалпур
કૃષ્ણાગિરિ	Кришнагири
સુલ્તાનપુર	Султанпур (город)
હજારીબાગ	Хазарибагх
લલિતપુર	Лалитпур (Индия)
શિવગંગાઇ	Шиваганга
એર્નાકુલમ	Эрнакулам
જૌનપુર	Джаунпур
મહારાજગંજ	Махараджгандж
શ્રવણબેલગોડા	Шраванабелагола
સુવર્ણપુર	Сонепур
હાવેરી	Хавери
