Āfrika	Африка
Du hast	Du hast
74. Kinoakadēmijas balva	Оскар (кинопремия, 2002)
Melnā viela	Чёрная субстанция
See Emily Play	See Emily Play
Simpsons Roasting on an Open Fire	Симпсоны готовят на открытом огне
Kristīgais roks	Христианский рок
Gangsta reps	Гангста-рэп
Metafiziskā glezniecība	Метафизическая живопись
Lamas	Ламы
Panamas himna	Гимн Панамы
Arhentino ezers	Архентино
Skots Pilgrims pret pasauli	Скотт Пилигрим против всех
Atelektāze	Ателектаз
Sultāne māte	Валиде-султан
Basilejs	Басилевс
Gāzmaska	Противогаз
Čehijas hokeja izlase	Сборная Чехии по хоккею с шайбой
Riteņbraukšana 2012. gada Vasaras Olimpiskajās spēlēs — Vīrieši, grupas brauciens	Велоспорт на летних Олимпийских играх 2012 — групповая шоссейная гонка (мужчины)
Bahamu jenots	Багамский енот
I'm with You	I’m with You (альбом)
The Time of Our Lives	The Time of Our Lives
Eiropas autoceļš E67	Европейский маршрут E67
Serbijas Futbola asociācija	Футбольный союз Сербии
ResearchGATE	ResearchGate
Nevardarbīgas pretošanās metodes	Ненасильственное сопротивление
Urugvaja—Brazīlija (1950. gada FIFA Pasaules kauss)	Футбольный матч Уругвай — Бразилия (1950)
Skeletons Olimpiskajās spēlēs	Скелетон на Олимпийских играх
Zirga gaitas	Аллюр
Īsspalvainais ūdrs	Гладкошёрстная выдра
Neatgriezeniskais	Необратимость
Partizānske	Партизанске
Kremnica	Кремница
Snina	Снина
Lilija Evansa Potere	Лили Поттер
Klijānu apakšdzimta	Канюки
Ģeoloģiskā epoha	Геологическая эпоха
Baltpurna degunlācītis	Коати
F1 punktu skaitīšanas sistēmu saraksts	Система начисления очков в Формуле-1
Franču alfabēts	Французский алфавит
Volta a Catalunya	Вуэльта Каталонии
Remixed & Revisited	Remixed & Revisited
Relācijas	Реляционная модель данных
Svitavi	Свитави
Dese	Дэссе
Grizoni	Гризоны
Plecu josla	Плечевой пояс
X-lidmašīnas	Самолёты серии X (США)
Rožņavas apriņķis	Рожнява (район)
Spišska Nova Vesas apriņķis	Спишска-Нова-Вес (район)
Bišu dzimta	Пчёлы настоящие
256 (skaitlis)	256 (число)
Dižtauriņu virsdzimta	Papilionoidea
Rubeņi	Глухари
Prāvests	Пробст
Mongolijas prezidenti	Президент Монголии
Krimas Autonomā Republika	Автономная Республика Крым
Pink Floyd diskogrāfija	Дискография Pink Floyd
Operētājsistēmu saraksts	Список операционных систем
Sarkanastes tropu jūrasputns	Краснохвостый фаэтон
Valandova	Валандово
Prešovas apriņķis	Прешов (район)
Krupinas apriņķis	Крупина (район)
Martinas apriņķis	Мартин (район)
Krupina	Крупина
Ikarus	Ikarus
Smaiļošana un kanoe airēšana Olimpiskajās spēlēs	Гребля на байдарках и каноэ на Олимпийских играх
Tour Down Under	Тур Даун Андер
Tvrdošīnas apriņķis	Тврдошин (район)
Kurši	Курши
Tumšais ambients	Дарк-эмбиент
Sojuz TMA-13	Союз ТМА-13
Džeka Adamsa balva	Джек Адамс Эворд
Tidžikdža	Тиджикжа
Baloži (pilsēta)	Баложи
Discovery Channel Pro Cycling Team	Discovery Channel (велокоманда)
Grobiņa	Гробиня
Cesvaine	Цесвайне
Teniss 2008. gada Vasaras Olimpiskajās spēlēs — Vīriešu dubultspēles	Теннис на летних Олимпийских играх 2008 — мужской парный турнир
Dagda	Дагда (город)
Džima dēļ	Как сказал Джим
Maksātnespēja	Платёжеспособность
Atmosfēra (nozīmju atdalīšana)	Атмосфера (значения)
Atrēzija	Атрезия
Ērzelis	Жеребец
Atvars Tribuncovs	Трибунцов, Атварс Владимирович
Oba (nozīmju atdalīšana)	Об
Auce	Ауце
Audi A4	Audi A4
Audi Allroad Quattro	Audi Allroad Quattro
PSRS Valsts prēmija	Государственная премия СССР
Sacīkstes "Lielgabala lode"	Гонки «Пушечное ядро»
Hola Pristaņa	Голая Пристань
Tokmaka	Токмак (Украина)
Berezaņa	Березань (город)
Enerhodara	Энергодар
Mroča	Мроча
Nitras apriņķis	Нитра (район)
Centaur (raķešpakāpe)	Центавр (разгонный блок)
Buenos Aires	Буэнос-Айрес (значения)
Progresa indikators	Индикатор процесса
Augusts Korks	Корк, Август Иванович
Kisucke Nove Mesto apriņķis	Кисуцке-Нове-Место (район)
2015. gada Eiropas spēles	Европейские игры 2015
Tora (polārstacija)	Тор (антарктическая станция)
Nolaižamais aparāts	Посадочный модуль
RKK Energija	Энергия (РКК)
Biržu rajona pašvaldība	Биржайский район
Jawa	Ява (мотоцикл)
Stokholmas arhipelāgs	Стокгольмский архипелаг
Olimps	Olympus (значения)
Olkuša	Олькуш
Dust Brothers	The Dust Brothers
Leonīds Brežņevs	Брежнев, Леонид Ильич
Aviācija	Авиация
S/2010 J 1	S/2010 J 1
Rūjiena	Руиена
Stundas rekords	Часовой рекорд езды
ExPRESS Logistics Carrier	Транспортно-складские палеты
Trevizo "Benetton"	Бенеттон (баскетбольный клуб)
Okinavas prefektūra	Окинава (префектура)
Prūsija (nozīmju atdalīšana)	Пруссия (значения)
Columbia	Columbia
Divāna raksts	Дивани
FDJ.fr	FDJ.fr
Rokišķu rajona pašvaldība	Рокишкский район
Juris Štāls	Шталс, Юрис
Saportas kauss	Кубок Сапорты
You Belong with Me	You Belong with Me
Karkarali dabas parks	Каркаралинский национальный парк
Gaia	Gaia
Pūhovas apriņķis	Пухов (район)
Cetoniinae	Бронзовки
Priekule (Lietuva)	Прекуле
Tebulo	Тебулосмта
Tirāniņu apakškārta	Тиранны
Lēca	Линза
Vilkinsa	Уилкинс (аэродром)
Peņenžno	Пененжно
Nontaburi	Нонтхабури
Bonus-malus	Бонус-малус
Angel in Disguise	Angel in Disguise
Zond-3	Зонд-3
Drohičina	Дрохичин
Bornholma	Борнхольм
Beside You in Time	Beside You in Time
Alītas rajona pašvaldība	Алитусский район
Augusts Kirhenšteins	Кирхенштейн, Август Мартынович
Romuva	Прусская Ромува
Gollisms	Голлизм
Reģionālā valoda	Региональный язык
Marina Rebeka	Ребека, Марина
Lielais Liepukalns	Лиелайс Лиепукалнс
Dinaburg FC	Динабург (футбольный клуб)
Rec.Sport.Soccer Statistics Foundation	Rec.Sport.Soccer Statistics Foundation
Augustovas kanāls	Августовский канал
Novi Targas apriņķis	Новотаргский повят
Džonam Takeram ir jāmirst	Сдохни, Джон Такер!
Anna Sakse	Саксе, Анна
Džefs Natansons	Натансон, Джефф
Peel P50	Peel P50
Alūksnes rajons	Алуксненский район
Video Games	Video Games (песня)
Vladimirs Deņisovs	Денисов, Владимир Михайлович
Dienvidāzija	Южная Азия
Gabriela Soukalova	Соукалова, Габриэла
Aukštojs	Аукштояс
Liliāna Ronketi	Ронкетти, Лилиана
Vkra	Вкра
Antarktikas vētrasputns	Антарктический буревестник
Ziemeļu upespērlene	Европейская жемчужница
Austrālijas Aborigēnu valodu transkripcija	Письменность и транскрипция австралийских языков
Krasnistavas apriņķis	Красноставский повят
Lietuvas administratīvais iedalījums	Административное деление Литвы
Viktars Kascjučonaks	Костючёнок, Виктор Павлович
Polčinzdroja	Полчин-Здруй
Helmno apriņķis	Хелмненский повят
Tailers Segīns	Сегин, Тайлер
Golubas-Dobžiņas apriņķis	Голюбско-добжинский повят
Brda	Брда
Gambrins	Гамбринус (король)
Naukšēnu novads	Наукшенский край
Grudzjondzas apriņķis	Грудзёндзский повят
Kenti	Кенты
Inovroclavas apriņķis	Иновроцлавский повят
Danangas lidosta	Дананг (аэропорт)
Lipno apriņķis	Липновский повят
Džudo 2008. gada Vasaras Olimpiskajās spēlēs — Vīrieši, līdz 90 kg	Дзюдо на летних Олимпийских играх 2008 — до 90 кг (мужчины)
Vodzislavas apriņķis	Водзиславский повят
Ripinas apriņķis	Рыпинский повят
Kazimeždolni	Казимеж-Дольны
2006. gada Pasaules čempionāts basketbolā sievietēm	Чемпионат мира по баскетболу среди женщин 2006
Keirins	Кейрин
Ēģiptes prezidenti	Список президентов Египта
Bolkova	Болькув
Igaunijas Tautas savienība	Народный союз Эстонии
61 (skaitlis)	61 (число)
Austrumu baltastes trusis	Флоридский кролик
Vombžezno apriņķis	Вомбжезненский повят
Vloclavekas apriņķis	Влоцлавский повят
Sveces apriņķis	Свецкий повят
Opel Agila	Opel Agila
Fa (nots)	Фа (нота)
Rīgas kinostudija	Рижская киностудия
Zlate Moravces apriņķis	Злате-Моравце (район)
Šaušana 2008. gada Vasaras Olimpiskajās spēlēs — Vīrieši, tranšeju stends	Стрельба на летних Олимпийских играх 2008 — трэп (мужчины)
Kepler-10	Kepler-10
Mohikāņi	Могикане
Bžosteka	Бжостек (город)
Koņske	Коньске
Dekāns (garīdznieks)	Деан (Вьяна-ду-Каштелу)
1998. gada NHL drafts	Драфт НХЛ 1998
Packava	Пацков
Larsena šelfa ledājs	Шельфовый ледник Ларсена
Kaļčika	Кальчик (река)
Klaipēda	Клайпеда
Sosņicovice	Сосницовице
Tarnogroda	Тарногруд
Levices apriņķis	Левице (район)
Vašingtona universitāte Sentluisā	Университет Вашингтона в Сент-Луисе
Červeņska	Червеньск
Stropkovas apriņķis	Стропков (район)
Dzeržoņova	Дзержонюв
Pjastova	Пястув
Leikocitūrija	Лейкоцитурия
Auskultācija	Аускультация
Āzijas GP2	GP2 Asia
Jakubs Štepāneks	Штепанек, Якуб
2011. gada NBA Visu zvaigžņu spēle	Матч всех звёзд НБА 2011 года
GLSL	OpenGL Shading Language
Ataturka reformas	Реформы Ататюрка
Hanušovce pie Topļas	Ганушовце-над-Топлёу
Goldapas apriņķis	Голдапский повят
Tiesības	Субъективное право
Jānis Miņins	Мининс, Янис
Austrālija (nozīmju atdalīšana)	Австралия (значения)
Himātijs	Гиматий
Muhameds Ali Reda	Мухаммед Али (боксёр, Египет)
Alberts Kapenguts	Капенгут, Альберт Зиновьевич
Eiropas autoceļš E04	Европейский маршрут E04
Vienplaušzivjveidīgās	Рогозуб
Galīcijas-Volīnijas kņazi	Список правителей Галицко-Волынского княжества
Deniss Paršins	Паршин, Денис Сергеевич
Badmintons 2008. gada Vasaras Olimpiskajās spēlēs — Jauktās dubultspēles	Бадминтон на летних Олимпийских играх 2008 — смешанный разряд
Marčikitas ezers	Мар-Чикита
Stepju gazeles	Дзерены
Grafiskā lietotāja saskarne	Графический интерфейс пользователя
Lipsko apriņķis	Липский повят
Volkswagen Tiguan	Volkswagen Tiguan
Austrālijas basketbola izlase	Мужская сборная Австралии по баскетболу
Austrālijas hokeja izlase	Сборная Австралии по хоккею с шайбой
Kanādas basketbola izlase	Мужская сборная Канады по баскетболу
Krievu tiesa	Русская Правда
Uzņēmums	Коммерческая организация
Midnight Club 3: DUB Edition	Midnight Club 3: DUB Edition
Peldēšana 2008. gada Vasaras Olimpiskajās spēlēs — Sievietes, 200 metri, kompleksais stils	Плавание на летних Олимпийских играх 2008 — 200 метров комплексным плаванием (женщины)
Izmaiņas punkts	Разъезд
Starptautiskais polārais gads	Международный полярный год
Brezno apriņķis	Брезно (район)
Veļu māte	Велю мате
Links 2 3 4	Links 2-3-4
Ivans Lukjanovs	Лукьяновс, Иванс
The Downward Spiral	The Downward Spiral
Bruno Habārovs	Хабаров, Бруно Сергеевич
Āfrikas čempionāts basketbolā sievietēm	Чемпионат Африки по баскетболу среди женщин
Mērkaziņas	Бекасы
Latvijas gada labākais futbolists	Футболист года в Латвии
Autoceļš A10 (Latvija)	Автодорога A10 (Латвия)
Sauszemes puslode	Полушарие суши
Autoceļš A5 (Latvija)	Автодорога A5 (Латвия)
UCI šosejas riteņbraukšanas Pasaules kauss	Мировой шоссейный кубок UCI
Pieazovas augstiene	Приазовская возвышенность
Reālā laika ziņošanas protokols	Real Time Messaging Protocol
Fairytales	Fairytales
MariaDB	MariaDB
BESM	БЭСМ
BMC Racing Team	BMC Racing Team
Jevgeņijs Medvedevs	Медведев, Евгений Владимирович
Pigacāno	Пигаццано
Omskas "Avangard"	Авангард (хоккейный клуб)
Parastais plakanstaipeknis	Дифазиаструм сплюснутый
ASV sieviešu basketbola izlase	Женская сборная США по баскетболу
Starfuckers, Inc.	Starfuckers, Inc.
Autorizācija	Авторизация
Bahčelievleras rajons	Бахчелиэвлер
Bojnice	Бойнице
Viņa	Она (фильм, 2013)
Baldone	Балдоне
Kreilība	Левша
ASV Valsts departaments	Государственный департамент США
Bangladešas pilsētu uzskaitījums	Города Бангладеш
Barbadosas jenots	Барбадосский енот
Barcelona	Барселона (значения)
Avens	Авен
Baringo ezers	Баринго
Avia B-534	Avia B.534
Kakomicliji	Какомицли
Bajrampašā rajons	Байрампаша
Avdijivka	Авдеевка
Beautiful Song	Beautiful Song (песня Anmary)
Awesome as Fuck	Awesome as Fuck
Beļģijas karaļi	Список королей Бельгии
Berežani	Бережаны
The Dance	The Dance (мини-альбом)
Igaunijas Konservatīvā Tautas partija	Консервативная народная партия Эстонии
Best of 2Pac Part 1: Thug	Best of 2Pac
Jaunā savienība (sociālliberāļi)	Новый союз (социал-либералы)
Bejlerbeji pils	Дворец Бейлербейи
Bejkozas rajons	Бейкоз
Godfrijs Čitalu	Читалу, Годфри
Futbols 2008. gada Vasaras Olimpiskajās spēlēs — Vīriešu turnīrs	Футбол на летних Олимпийских играх 2008 (мужчины)
Big Time Rush	Вперёд — к успеху
Tīrā telpa	Чистые помещения
Futbols 2008. gada Vasaras Olimpiskajās spēlēs — Sieviešu turnīrs	Футбол на летних Олимпийских играх 2008 (женщины)
Bila Mastertona balva	Билл Мастертон Трофи
Indivīds	Индивид
BA-10	БА-10
Ranger 1	Рейнджер-1
1946.—1947. gada ABA sezona	БАА в сезоне 1946/1947
1947.—1948. gada ABA sezona	БАА в сезоне 1947/1948
1948.—1949. gada ABA sezona	БАА в сезоне 1948/1949
Dziesma 2013	Латвия на конкурсе песни Евровидение 2013
IKP deflators	Дефлятор ВВП
Izsutums	Опрелость
Rīgas "Barons LDz"	Баронс/ЛМТ
Maskavas apgabala "Himki"	Химки (баскетбольный клуб)
Rīgas VEF	ВЭФ (баскетбольный клуб)
BK Ventspils	Вентспилс (баскетбольный клуб)
Ukrainas sieviešu basketbola izlase	Женская сборная Украины по баскетболу
Sojuz TMA-05M	Союз ТМА-05М
BMW M3	BMW M3
Baturs	Багатур
Babimosta	Бабимост
Bāburs	Бабур
Radio aukle	Детский монитор
Babīte	Бабите
Pretviļņa lampa	Лампа обратной волны
Bafusama	Бафусам
Bjarozavka	Берёзовка (Гродненская область)
Jamal-402	Ямал-402
SpaceX CRS-2	SpaceX CRS-2
Makmerdo — Dienvidpola lielceļš	Шоссе Мак-Мердо — Южный полюс
Orbitālais manevrs	Орбитальный манёвр
Kvadriljons	Квадриллион
Birži (Lietuva)	Биржай
Black Metal (albums)	Black Metal (альбом)
Bakassi	Бакасси
Bluā grāfi	Список графов де Блуа
Bakteriālā vaginoze	Бактериальный вагиноз
Liu	Лю
Blāvā briežvabole	Оленёк обыкновенный
Belenija salas	Баллени
Balta (pilsēta)	Балта
Johans Baltazars fon Kampenhauzens	Кампенгаузен, Иоганн Бальтазар фон
Baltijas stacija (Tallina)	Балтийский вокзал (Таллин)
Baltijas Basketbola līga	Балтийская баскетбольная лига
Baltika (kontinents)	Фенносарматия
Baltinava	Балтинава
Baltijas dzegužpirkstīte	Пальчатокоренник длиннолистный
Baltoro	Балторо (ледник)
Balis Dvarjons	Дварионас, Балис
Bambusa haizivju dzimta	Азиатские кошачьи акулы
Pasaules čempionāts bendijā	Чемпионат мира по хоккею с мячом
Baranova Sandomerska	Баранув-Сандомерский
Barčevo	Барчево
Bardo (pilsēta)	Бардо (Нижнесилезское воеводство)
Barlineka	Барлинек
Barē akords	Баррэ
Bartolomejs Anglis	Бартоломей Английский
Bartoli	Бартоли
Bartošice	Бартошице
Barvice	Барвице
Astanas "Baris"	Барыс
Artigasa	Артигас (антарктическая станция)
Baseins	Бассейн
Amerikas čempionāts basketbolā	Чемпионат Америки по баскетболу
Āzijas čempionāts basketbolā	Чемпионат Азии по баскетболу
1947. gada Eiropas čempionāts basketbolā	Чемпионат Европы по баскетболу 1947
1951. gada Eiropas čempionāts basketbolā	Чемпионат Европы по баскетболу 1951
1965. gada Eiropas čempionāts basketbolā	Чемпионат Европы по баскетболу 1965
1973. gada Eiropas čempionāts basketbolā	Чемпионат Европы по баскетболу 1973
1977. gada Eiropas čempionāts basketbolā	Чемпионат Европы по баскетболу 1977
1999. gada Eiropas čempionāts basketbolā	Чемпионат Европы по баскетболу 1999
1997. gada Eiropas čempionāts basketbolā	Чемпионат Европы по баскетболу 1997
1995. gada Eiropas čempionāts basketbolā	Чемпионат Европы по баскетболу 1995
2005. gada Eiropas čempionāts basketbolā sievietēm	Чемпионат Европы по баскетболу среди женщин 2005
Okeānijas čempionāts basketbolā	Чемпионат Океании по баскетболу
2011. gada Eiropas čempionāts basketbolā sievietēm	Чемпионат Европы по баскетболу среди женщин 2011
1963. gada Pasaules čempionāts basketbolā	Чемпионат мира по баскетболу 1963
1967. gada Pasaules čempionāts basketbolā	Чемпионат мира по баскетболу 1967
1970. gada Pasaules čempionāts basketbolā	Чемпионат мира по баскетболу 1970
1974. gada Pasaules čempionāts basketbolā	Чемпионат мира по баскетболу 1974
2014. gada FIBA Pasaules kauss	Чемпионат мира по баскетболу 2014
1998. gada Pasaules čempionāts basketbolā	Чемпионат мира по баскетболу 1998
Amerikas basketbola asociācija (1946—1949)	Баскетбольная ассоциация Америки
PSRS sieviešu basketbola izlase	Женская сборная СССР по баскетболу
PSRS basketbola izlase	Мужская сборная СССР по баскетболу
Baskunčaks	Баскунчак
Kanālmalas apstādījumi	Бастионная горка
Batista	Батиста
VersaEmerge	VersaEmerge
Garastes koku žagatas	Древесные сороки
Sintoisms	Синтоизм
Be Here Now	Be Here Now
Kubs	Куб
42 (skaitlis)	42 (число)
Lerijs Mullens	Маллен, Ларри
Befana	Бефана
Biheiviorālisms	Бихевиорализм
Divdabis	Причастие (лингвистика)
Turcijas iestāšanās Eiropas Savienībā	Вопрос о вступлении Турции в Европейский союз
Nicas iekarošana (1543)	Осада Ниццы
Belarus (traktors)	Беларус (семейство тракторов)
Dienvidkazahstānas apgabals	Южно-Казахстанская область
Metanalīze	Мета-анализ
Krājumu vadība	Инвентаризация
Beletāža	Бельэтаж
Pernu	Пярну (река)
Belžikas kalni	Бельжика (горы)
Beļģijas basketbola izlase	Мужская сборная Бельгии по баскетболу
Beļģijas hokeja izlase	Сборная Бельгии по хоккею с шайбой
Ekspozīcijas kompensācija	Экспокоррекция
Superauto	Суперкар
Rozā pantera 2	Розовая пантера 2
Nisa	Ныса (город)
Bulgārijas kņaziste	Княжество Болгария
Ģeometriska figūra	Фигура (геометрия)
L'Équipe	L’Équipe
Biznesa modelis	Бизнес-модель
Belila šaurums	Белл-Айл
Bohņa	Бохня
Minimālais pāris	Минимальная пара
Bellingshausen	Беллинсгаузен
Belinshauzena sala	Остров Беллинсгаузена
Belinshauzena	Беллинсгаузен (антарктическая станция)
Endera spēle	Игра Эндера
Belmana—Forda algoritms	Алгоритм Беллмана — Форда
Pokémon Black un White	Pokémon Black и White
Baltkrievijas valsts informātikas un radioelektronikas universitāte	Белорусский государственный университет информатики и радиоэлектроники
Belousova—Žabotinska reakcija	Реакция Белоусова — Жаботинского
Dāņu šaurumi	Датские проливы
Meklēšana dziļumā	Поиск в глубину
Bišu māte	Пчелиная матка
Projekta vadītājs	Менеджер проектов
Bens Bišops	Бишоп, Бен
Bens Īgers	Игер, Бен
Bēta adrenoblokatori	Бета-адреноблокаторы
Goiás Esporte Clube	Гояс (футбольный клуб)
Slapināšana	Смачивание
Kambodžas pilsoņu karš	Гражданская война в Камбодже
Bengts Oke Gustafsons	Густафссон, Бенгт-Оке
Volkswagen Lupo	Volkswagen Lupo
Osmaņu impērijas ģerbonis	Герб Османской империи
Benžamins Gleizers	Глэйзер, Бенджамин
Benets Millers	Миллер, Беннетт
Sokulka	Сокулка
Marva	Маруа
Bereks Joselevičs	Берек Йоселевич
Berestečko	Берестечко
Wrigley	Wrigley
Meizakila	Мыйзакюла
Terva	Тырва
Telavivas "Maccabi"	Маккаби (баскетбольный клуб, Тель-Авив)
Zviedrijas rallijs	Ралли Швеции
Pasaules pokera sērijas	Мировая серия покера
Kupišķi	Купишкис
Bergs	Бергс
Kolona (province)	Колон (провинция)
Berjozovka	Березовка
Mešaps	Мэшап (веб)
Fon Mengdeni	Менгдены
World of Warcraft spēlējamās rases un klases	Расы Warcraft
Fon Eseni	Эссены
2010. gada FIFA Pasaules kausa komandu sastāvi	Чемпионат мира по футболу 2010 (составы)
Šlipenbahi	Шлиппенбах
Vills Čempions	Чемпион, Уилл
Skvoveli	Скво-Вэлли
Saeima	Сейм Латвии
Ducis ir lētāk	Оптом дешевле (фильм, 2003)
Konservatīvais spēks	Консервативные силы
Sapņotāji (filma)	Мечтатели (фильм, 2003)
Somijas hokeja izlase	Сборная Финляндии по хоккею с шайбой
No Wave	Ноу-вейв
Funkcionālie budžeti	Оборотный капитал
Limbažu rajons	Лимбажский район
Nacionālais kino reģistrs	Национальный реестр фильмов
Ziemeļrietumu reģions	Северо-Западный регион (Камерун)
Galējo Ziemeļu reģions	Крайнесеверный регион
Harmony (SKS)	Гармония (модуль МКС)
Nesijervi	Нясиярви
STS-118	STS-118
Dzeltenā tēja	Жёлтый чай
AVN balva	AVN Awards
Ņūtona gredzeni	Кольца Ньютона
Nādora	Надор (город)
1729 (skaitlis)	1729 (число)
Prettanku suņi	Противотанковая собака
Pārstiklošanās temperatūra	Температура стеклования
Vikinomika: Kā masu sadarbība maina visu	Викиномика
Mēdemi	Медемы
Kokle (province)	Кокле (провинция)
Zilie sīļi	Голубые сойки
Bostonas maratons	Бостонский марафон
Krosno	Кросно
Sejni	Сейны
Morisa Rišāra balva	Морис Ришар Трофи
Johans Lēberehts Eginks	Эггинк, Иван Егорович
Daugavas kauja	Битва на Двине
Dmitrijs Kočņevs	Кочнев, Дмитрий Александрович
Heinrihs fon Licelburgs	Генрих Курляндский
2001. gada Pasaules čempionāts hokejā	Чемпионат мира по хоккею с шайбой 2001
Henings Šarpenbergs	Шарпенберг, Хеннинг
VfB Oldenburga	Ольденбург (футбольный клуб)
Rentgendifraktometrija	Рентгеноструктурный анализ
Ņujorkas karalis	Король Квинса
Mantegaca latvānis	Борщевик Мантегацци
Berryz Kobo	Berryz Kobo
Filips (personvārds)	Филипп
Vilkabamba	Вилькабамба
Draupnirs	Драупнир
Gungnirs	Гунгнир
Inmarsat	Inmarsat
Egila sāgas	Сага об Эгиле
E=MC² (albums)	E=MC² (альбом Мэрайи Кэри)
Slovākijas Ekstralīga	Словацкая экстралига
Rodsters	Родстер
Roks pret komunismu	Рок против коммунизма
Kilometrs	Километр
Estonia (prāmis)	Эстония (паром)
Smalkais papagailis	Благородный зелёно-красный попугай
Almarsa	Альмарса
Hnūštja	Гнуштя
Firns	Фирн
Noteca	Нотець
Krievu—turku karš (1686—1700)	Русско-турецкая война (1686—1700)
Aldealisesa	Альдеалисес
Aldealafuente	Альдеалафуэнте
Alentiske	Алентиске
Adradasa	Адрадас
Alkonava	Альконаба
Abehara	Абехар
Aldealposo	Альдеальпосо
Alkuvilja de las Penjasa	Алькубилья-де-лас-Пеньяс
Rimavska Sobota	Римавска-Собота
Austrālāzijas mušķērāju dzimta	Австралийские зарянки
Patkuli	Паткуль
Arnold Layne	Arnold Layne
Labākā skaņa (Amerikas Kinoakadēmijas balva)	Премия «Оскар» за лучший звук
Mirdza Ķempe	Кемпе, Мирдза Яновна
Euskaltel-Euskadi	Euskaltel-Euskadi
Divāns (institūcija)	Диван (ведомство)
Ieva (Bībele)	Ева
Tasejeva	Тасеева
Rīgas radio un televīzijas tornis	Рижская телебашня
Nokia N9	Nokia N9
Possessed	Possessed
Popradas apriņķis	Попрад (район)
Sobrances apriņķis	Собранце (район)
Košice I	Кошице I (район)
Stara Ļubovņas apriņķis	Стара-Любовня (район)
Chang'e 2	Чанъэ-2
Jūrgordena	Юргорден (остров)
Nacionālās futbola izlases	Список мужских национальных сборных по футболу
Pampu lapsa	Парагвайская лисица
Brand New Eyes	Brand New Eyes
OpenERP	Odoo
Sojuz TMA-02M	Союз ТМА-02М
Ieņēmumi pirms procentu, nodokļu, nolietojuma un amortizācijas atskaitījumiem	EBITDA
Peidžers	Пейджер
Teda Lindsija balva	Тед Линдсей Эворд
2008. gada ASV atklātais čempionāts tenisā — Sieviešu vienspēles	Открытый чемпионат США по теннису 2008 в женском одиночном разряде
Soļera	Сольер
Bakalaurs (bruņinieks)	Рыцарь-бакалавр
The Birthday Massacre	The Birthday Massacre
Clawfinger	Clawfinger
Svidnīka	Свидник (Словакия)
HAL 9000	HAL 9000
Cikliskā frekvence	Угловая частота
Clipper	Clipper
Bondarenko	Бондаренко
Tallinas Svētā Olafa baznīca	Церковь Святого Олафа (Таллин)
Bono	Боно
Visvarenības paradokss	Парадокс всемогущества
Ciršļveidīgie	Землеройкообразные
Alberta kanāls	Альберт-канал
Škorpion vz. 61	Скорпион (пистолет-пулемёт)
2001: Kosmosa odiseja (romāns)	2001: Космическая одиссея (роман)
Stšižova	Стшижув (город)
Kamerūnas pilsētu uzskaitījums	Города Камеруна
Ikarus E91	Ikarus E91
Quest (SKS)	Квест (модуль МКС)
3. armijas korpuss (Vācija)	3-й армейский корпус (Третий рейх)
Cenu diskriminācija	Ценовая дискриминация
South of Heaven	South of Heaven
Trigeris (DBPS)	Триггер (базы данных)
Jaunjelgava	Яунелгава
Timbaland Presents Shock Value	Shock Value
Daydream	Daydream (альбом Мэрайи Кэри)
Individuālā psiholoģija	Индивидуальная психология
Budapešta - Bamako	Будапешт-Бамако
Sonne	Sonne
Jurbarka	Юрбаркас
Varēna	Варена
Naujoji Akmene	Науйойи-Акмяне
Kuršēni	Куршенай
Japāņu mīkla	Японский кроссворд
Labiodentāls nazāls līdzskanis	Губно-зубной носовой согласный
Hēnirs	Хёнир
Čadcas apriņķis	Чадца (район)
Banska Štjavnicas apriņķis	Банска-Штьявница (район)
Rimavska Sobotas apriņķis	Римавска-Собота (район)
Žaras pie Hronas apriņķis	Жьяр-над-Гроном (район)
Žilinas apriņķis	Жилина (район)
Lučenecas apriņķis	Лученец (район)
2006. gads sportā	2006 год в спорте
Boeing X-43	NASA X-43
OPML	OPML
Oranžā revolūcija	Оранжевая революция
Viļāni	Виляны
Nopelniem bagātais sporta meistars	Заслуженный мастер спорта
Pretty Hate Machine	Pretty Hate Machine
Ondo	Ондо (штат)
Voti	Водь
Livonijas ordeņa mestri	Ландмейстеры Тевтонского ордена в Ливонии
Iekšlietu Tautas komisariāta Valsts Politpārvalde	Государственное политическое управление при НКВД РСФСР
Rīga (mopēds)	Рига (мопед)
Vācijas F3	Немецкая Формула-3
Atvasināts darbs	Производное произведение
Drezdenko	Дрезденко
Vladislavovo	Владыславово
Automašīnu klasifikācija	Классификация автомобилей
Laupītājmušu dzimta	Ктыри
Stahanova	Стаханов (город)
Spēle ar uguni	И вспыхнет пламя
Sannikolau Mare	Сынниколау-Маре
Cīņas klubs (romāns)	Бойцовский клуб (роман)
Enharmonisms	Энгармонизм
VAZ-2101	ВАЗ-2101
The Pretty Reckless	The Pretty Reckless
Seksa industrija	Секс-индустрия
Čeļuskina rags	Челюскин (мыс)
Vrūtki	Врутки
Mijava	Миява
Sabinova	Сабинов
Saules kolektors	Солнечный коллектор
Darbaspēks	Экономически активное население
Rosa ronis	Тюлень Росса
Prostejovas apriņķis	Простеёв (район)
2010. gads sportā	2010 год в спорте
Mars-500	Марс-500
Spektr-R	Радиоастрон
Bānovces pie Bebravas apriņķis	Бановце-над-Бебравоу (район)
Partizānskes apriņķis	Партизанске (район)
Vranovas pie Topļas apriņķis	Вранов-над-Топлёу (район)
