Aafrika	Африка
Süsteemianalüüs	Системный анализ
LightScribe	LightScribe
Mario Scheiber	Шайбер, Марио
Rühmoid	Магма (алгебра)
Sojuzmultfilm	Союзмультфильм
Urziceni	Урзичени
Kompleks (psühholoogia)	Комплекс (психология)
Rändlusteenus	Роуминг
Mikroevolutsioon	Микроэволюция
Haavatu märk	Нагрудный знак «За ранение»
Wessexi printsess Louise	Леди Луиза Виндзор
2013. aasta ujumise maailmameistrivõistlused	Чемпионат мира по водным видам спорта 2013
Evolvent	Эвольвента
Spioonid (seriaal)	Призраки (телесериал)
2006. aasta Austria parlamendivalimised	Парламентские выборы в Австрии (2006)
Bujumbura rahvusvaheline lennujaam	Бужумбура (аэропорт)
Braives'i vald	Брев
Semjon Tšeljuskin	Челюскин, Семён Иванович
Tartupaluk	Остров Ганса
B.o.B Presents: The Adventures of Bobby Ray	B.o.B Presents: The Adventures of Bobby Ray
Maareform	Аграрная реформа
Müller-Thurgau	Мюллер-Тургау
Semioos	Семиозис
Retseptor	Рецептор (значения)
Plekksepp, rätsep, sõdur, nuhk (film)	Шпион, выйди вон!
Kindel kõneviis	Изъявительное наклонение
Izalco	Исалько (Сальвадор)
Esneux' vald	Энё
Altun Shan	Алтынтаг
Phoebe Buffay	Фиби Буффе
Emden (1925)	Emden (1925)
Šišaldin	Вулкан Шишалдина
Kõhuõõs	Брюшная полость
Mikulov	Микулов
Delfi oraakel	Дельфийский оракул
Kano osariik	Кано (штат)
Leek ja Sidrun	Пламя и Цитрон
Ülekriitiline fluidum	Сверхкритическая жидкость
Jigawa	Джигава
Osuni osariik	Осун
Yobe	Йобе
Des-duur	Ре-бемоль мажор
The Rise and Fall of Ziggy Stardust and the Spiders from Mars	The Rise and Fall of Ziggy Stardust and the Spiders from Mars
Doominoefekt	Принцип домино
Jaanuar 2005	Январь 2005 года
Moodne viievõistlus 1952. aasta suveolümpiamängudel	Современное пятиборье на летних Олимпийских играх 1952
Fiaal	Пинакль
Violator (album)	Violator
Saksamaa riigipeade loend	Список президентов Германии
Mai-Ndombe järv	Маи-Ндомбе
Salanõukogu (Suurbritannia)	Тайный совет Великобритании
Donald Olding Hebb	Хебб, Дональд
Andorra riigipeade loend	Список князей Андорры
Syrianska FC	Сюрианска
Kutter	Куттер (судно)
1939. aasta Euroopa meistrivõistlused Kreeka-Rooma maadluses	Чемпионат Европы по борьбе 1939
1931. aasta Euroopa meistrivõistlused Kreeka-Rooma maadluses	Чемпионат Европы по борьбе 1931
Mets-harakputk	Купырь лесной
Savonlinna linn	Савонлинна
Varkaus	Варкаус
Eriruumala	Удельный объём
Mihhail Mihhailovitš Golitsõn	Голицын, Михаил Михайлович
Nanjingi Ülikool	Нанкинский университет
Saale-Unstrut	Заале-Унструт
Jarmo Ahjupera	Ахьюпера, Ярмо
Krunt (maalikunst)	Земельный участок
Blombergi-Fritschi afäär	Дело Фрича — Бломберга
Winrich von Kniprode	Винрих фон Книпроде
Vendi ristisõda	Крестовый поход против славян
Uruhiir	Серые полёвки
Svenn Stray	Стрэй, Свен
Keeristorm (film 1996)	Смерч (фильм, 1996)
Aleksandr Potebnja	Потебня, Александр Афанасьевич
Montivipera raddei	Гадюка Радде
Læsø	Лесё
Armeenia Apostlik Kirik	Армянская апостольская церковь
Iiri kirjandus	Ирландская литература
Kole Koiott, baaris ainult tüdrukud	Бар «Гадкий койот»
1998. aasta laskesuusatamise maailmameistrivõistlused	Чемпионат мира по биатлону 1998
2006. aasta Kuldgloobuse auhinnad	Золотой глобус (премия, 2006)
Marduk (ansambel)	Marduk
1978. aasta laskesuusatamise maailmameistrivõistlused	Чемпионат мира по биатлону 1978
Peter Ludwig von der Pahlen	Пален, Пётр Алексеевич
Tšerski mäestik	Хребет Черского (Северо-Восточная Сибирь)
1963. aasta laskesuusatamise maailmameistrivõistlused	Чемпионат мира по биатлону 1963
Darevskia armeniaca	Армянская ящерица
Julgeolekupolitsei Peaamet	Полиция безопасности (Третий рейх)
Garni tempel	Храм Михра в Гарни
Volhovi rinne	Волховский фронт
Albrecht VII (Mecklenburgi hertsog)	Альбрехт VII Мекленбургский
Aacheni piiskopkond	Епархия Аахена
Viienda koalitsiooni sõda	Война пятой коалиции
Armeenia köök	Армянская кухня
Magalhãesi provints	Магальянес (провинция)
Edward England	Инглэнд, Эдвард
Armeenia kirjandus	Армянская литература
Pius X pühitsetud kardinalide loend	Список кардиналов, возведённых папой римским Пием X
Eleftherotypía	Элефтеротипия
Museion	Александрийский мусейон
1-eurone münt	Один евро
Kinnisvara	Недвижимость
Reuma	Ревматизм
Sutomore	Сутоморе
Alpisarv	Альпийский рог
Baškortostani Vabariigi lipp	Флаг Башкортостана
Vigursuusatamine 2006. aasta taliolümpiamängudel	Фристайл на зимних Олимпийских играх 2006
E-seeria	E-серия
Jorge Illueca	Ильюэка Сибаусте, Хорхе Энрике
Lõõmutamine	Отжиг
Badeni valitsejate loend	Список правителей Бадена
Ararat (brändi)	Армянский коньяк
As‘adābād	Асадабад
1934. aasta Euroopa meistrivõistlused Kreeka-Rooma maadluses	Чемпионат Европы по борьбе 1934
Aššur	Ашшур
Vokaalmuusika	Вокальная музыка
Paremjõudude Liit	Союз правых сил
Ameerika Riikide Konföderatsiooni dollar	Доллар Конфедерации
Kelaino (plejaad)	Келено (плеяда)
Lübecki õigus	Любекское право
Knivskjellodden	Кнившелльодден
Must-karkjalg	Чёрный ходулочник
Val Barkeri karikas	Кубок Вэла Баркера
DOC	DOC
Kassalā	Кассала (город)
Ferdinand	Фердинанд
Bentaal	Бенталь
Poolväärtusaeg	Период полувыведения
Heuriger	Хойригер
Kristlikud voorused	Семь добродетелей
Anhalt-Bernburg	Ангальт-Бернбург
Tšehhi krooni maad	Земли богемской короны
Pöörduv reaktsioon	Обратимые реакции
Setsessioon	Сецессия
Whistleri ema	Мать Уистлера
Leksikaliseerumine	Лексикализация
Konnevesi vald	Конневеси
Armin Öpik	Опик, Армин Александр
Burgundia hertsog	Список герцогов Бургундии
Pavlov	Вулкан Павлова
Final Fantasy III	Final Fantasy III
Läti Pank	Банк Латвии
Lieven	Ливены
Jacob Johann von Sievers	Сиверс, Яков Ефимович
Ernst Bergmann	Бергманн, Эрнст фон
2014. aasta Euroopa meistrivõistlused kergejõustikus	Чемпионат Европы по лёгкой атлетике 2014
Surev lõvi	Умирающий лев
Šveitsi liidupresident	Президент Швейцарии
São Leopoldo	Сан-Леополду
Nuraag	Нураги
Ill (Austria)	Илль (приток Рейна)
1985. aasta põhja suusaalade maailmameistrivõistlused	Чемпионат мира по лыжным видам спорта 1985
Rahvusvaheline Maadlusliit	Объединённый мир борьбы
Tehniline abivahend	Технические средства реабилитации
Maailmarekord	Мировой рекорд
Mont Pèlerini Ühing	Общество «Мон Пелерин»
Dubăsari	Дубоссары
Projekt 1241	Ракетные катера проекта 1241
Johannes VI Ambundi	Иоганн VI Амбунди
Kõik müügiks (film, 1968)	Всё на продажу
Sándor Rozsnyói	Рожньои, Шандор
Bode	Боде (река)
Wrangell	Врангели
Møllehøj	Моллехой
Aucifer	Λucifer
SdKfz 10	SdKfz 10
GAZ-66	ГАЗ-66
Billungid	Биллунги
Schütze	Шутце
SDL Trados	Trados
Danevirke	Даневирке
Kaanon D-duuris	Канон Пахельбеля
Giovanni Felice Sances	Санчес, Джованни Феличе
Joseph Philippe de Clairville	Клервилль, Жозеф Филипп
Guglielmo Ferrero	Ферреро, Гульельмо
Sarner Aa	Зарнер-Аа
Steingletscher	Штайнглетчер
Pz 68	Pz 68
Alexander Frick	Фрик, Александр
Pz 61	Pz 61
Oiraadid	Ойраты
Tark elektrivõrk	Умные сети электроснабжения
Polüüp	Полип (биология)
Sise-Austria	Внутренняя Австрия
Army of the Pharaohs	Army of the Pharaohs
Lipoom	Липома
Tlaxcala	Тласкала-де-Хикотенкатль
Rønne	Рённе
Linnageograafia	Урбанистика
Ookeanipoolkera	Полушарие воды
Liivlased	Ливы
The Everly Brothers	The Everly Brothers
Manas	Манас
Otsingutabel	Таблица поиска
Kõrg-Tatra	Высокие Татры
Barentsburg	Баренцбург
Vigursuusatamine 1992. aasta taliolümpiamängudel	Фристайл на зимних Олимпийских играх 1992
Gewehr 41	Gewehr 41
SdKfz 11	Sd Kfz 11
Aasšampinjon	Шампиньон полевой
Hahk (perekond)	Гаги
Badeni vabariik	Республика Баден
Vasektoomia	Вазэктомия
Täyssinä rahu	Тявзинский мирный договор
Fotomeeter	Фотометр
Ida-Sepik	Восточный Сепик
PT-91	PT-91
Atterti vald	Атер
Kubjas	Солтыс
Donaueschingeni muusikapäevad	Дни музыки в Донауэшингене
Mutsamudu	Муцамуду
Kontsertmeister	Концертмейстер
ISO 3166-2:EE	ISO 3166-2:EE
Carl Ernst Heinrich Schmidt	Шмидт, Карл Эрнст Генрих
Brasília metroo	Метрополитен Бразилиа
Hõlmik-paradiisilind	Чудная райская птица
Felipe IV	Филипп IV (король Испании)
Magnetiline vastuvõtlikkus	Магнитная восприимчивость
Makita	Makita Corporation
Gangotri liustik	Ганготри (ледник)
Tõenduspõhine meditsiin	Доказательная медицина
Aktsent	Акцент (выговор)
Tuhande laiba maja	Дом 1000 трупов
Napoli ülikool	Неаполитанский университет
Tänavakorvpall	Стритбол
Tai kuningas	Чакри
Ristlaine	Поперечная волна
Sileesia hertsogkonnad	Силезские княжества
Belgia Ühendriigid	Бельгийские соединённые штаты
DSL-pöördusmultiplekser	DSLAM
Zeitgeisti Liikumine	Дух времени (движение)
Beersel	Берсел
ΛCDM-mudel	Модель Лямбда-CDM
Ekraaniluup	Экранная лупа
Messancy	Месанси
Russalka (monument)	Памятник броненосцу «Русалка»
Poola kirjandus	Польская литература
Riia rajoon	Рижский район
Octobass	Октобас
Ida-vöötorav	Восточный бурундук
Milano hertsog	Правители Милана
Paint	Американский пейнтхорс
Närvikiud	Нервные волокна
Signaalvähk	Американский сигнальный рак
Grappa	Граппа
Jaan Einasto	Эйнасто, Яан Эльмарович
Pontoon	Понтон (плавсредство)
Kiosk	Киоск
Stanisław Redens	Реденс, Станислав Францевич
Harilik alang	Императа цилиндрическая
Greenwichi linnaosa	Гринвич (боро Лондона)
WISE	Wide-Field Infrared Survey Explorer
Saksi-Wittenberg	Саксен-Виттенберг
Muusikaline ohver	Музыкальное приношение
XADO	ХАДО
XMM-Newton	XMM-Newton
Metapeedia	Метапедия
Arnika	Арника
Veranda	Веранда
Graan	Гран
Naltšiki Spartak	Спартак-Нальчик
Švaabimaa hertsogkond	Швабия (герцогство)
Le Fort	Лефорт
Klooga koonduslaager	Клоога (концентрационный лагерь)
Pobeda	ГАЗ-М-20 «Победа»
Narva piiramine (1704)	Осада Нарвы (1704)
Arno	Арно (атолл)
Gibraltari vallutamine	Захват Гибралтара
Seenekübar	Шляпка (микология)
Arno Babadžanjan	Бабаджанян, Арно Арутюнович
Seenejalg	Ножка
Saab 29 Tunnan	Saab 29 Tunnan
Hädaabinumber	Номера телефонов экстренных служб
Bremen-Verden	Бремен-Верден
Kornet (auaste)	Корнет (звание)
SdKfz 8	Sd.Kfz. 8
Füsioterapeut	Физиотерапевт
Ametüst-kuldnokk	Аметистовый короткохвостый скворец
Märts 2012	Март 2012 года
Hirmuotsija	Сказка о том, кто ходил страху учиться
Mitchell Weiser	Вайзер, Митчелл-Эли
Flaschenhalsi Vabariik	Свободное государство Фляшенхальс
Brandenburg (eriüksus)	Бранденбург 800
GAZ-24	ГАЗ-24
Väegrupp D	Группа армий «D»
Camouflage	Camouflage
Flak 38	3,7 cm FlaK 43
Erastvere lahing	Битва при Эрестфере
Amga uluss	Амгинский улус
Ad-Dīwānīyah	Эд-Дивания
Regimantas Adomaitis	Адомайтис, Регимантас Вайткусович
Oldenburgi valitsejate loend	Список правителей Ольденбурга
Punatähe orden	Орден Красной Звезды
Edgeøya	Эдж (остров)
Detektorraadio	Детекторный приёмник
Udu (film 2007)	Мгла (фильм)
Arnold Green	Грен, Арнольд Карлович
Hesseni maakrahvkond	Гессен (ландграфство)
Isfara	Исфара
Palana	Палана
Sermersooq	Сермерсоок
Polikliinik	Поликлиника
Arvelduskonto	Контокоррентный счёт
2004. aasta laskesuusatamise maailmameistrivõistlused	Чемпионат мира по биатлону 2004
1987. aasta põhja suusaalade maailmameistrivõistlused	Чемпионат мира по лыжным видам спорта 1987
Ižma jõgi	Ижма (река)
Barinas	Баринас
Eulatali vald	Ойлаталь
Tšehhi veinid	Виноделие в Чехии
Vadžra	Ваджра
Arnold Luhaäär	Лухаяэр, Арнольд
Otto (Ballenstedt)	Оттон Богатый (граф Балленштедта)
Ajalooline koolkond	Историческая школа права
Buzet	Бузет
Kärestik	Речной порог
Arnold Meri	Мери, Арнольд Константинович
Bakony	Баконь
Internatsionalism	Интернационализм
Nyamuragira	Ньямлагира
Tellisgootika	Кирпичная готика
Daisen	Дайсен (Акита)
Lənkərani Xəzər	Хазар-Ленкорань
Ingoda	Ингода
Orv	Ниша
Neofašism	Неофашизм
Paliseuli vald	Пализёль
Kongo DV riigipeade loend	Президенты Демократической Республики Конго
1992. aasta Los Angelese rahutused	Лос-Анджелесский бунт
Putukavõrk	Накомарник
Melle (Belgia)	Мелле (Бельгия)
Versace	Versace
Maailma Taekwondo Föderatsioon	Всемирная федерация тхэквондо
PM M1910	Пулемёт «Максим» образца 1910 года
Arnold Veimer	Веймер, Арнольд Тынувич
Tyrifjorden	Тюрифьорд
Arnold Vanderlyde	Вандерлиде, Арнольд
2001. aasta mäesuusatamise maailmameistrivõistlused	Чемпионат мира по горнолыжному спорту 2001
Charles Eugène de Croy	Круа, Карл-Евгений
Ivan Iljitšov	Ильичёв, Иван Иванович
Gösser	Gösser
Georg Streitberger	Штрайтбергер, Георг
1999. aasta Austria parlamendivalimised	Парламентские выборы в Австрии (1999)
Hans Brunhart	Брунхарт, Ханс
Hannes Reichelt	Райхельт, Ханнес
Björn Sieber	Зибер, Бьёрн
Bioloogiline lagunemine	Биодеградация
Saab 91 Safir	Saab 91 Safir
1933. aasta mäesuusatamise maailmameistrivõistlused	Чемпионат мира по горнолыжному спорту 1933
Heerold	Герольд
Denderleeuw	Дендерлеу
1936. aasta mäesuusatamise maailmameistrivõistlused	Чемпионат мира по горнолыжному спорту 1936
Michael Gruber	Грубер, Михаэль
Christian Hoffmann	Хоффман, Кристиан
Kinokawa	Кинокава
Oldenburgi hertsogkond	Ольденбург (государство)
Bridgend (tervikomavalitsus)	Бридженд (Уэльс)
Volkswagen Jetta	Volkswagen Jetta
Kujutle mind ja sind	Представь нас вместе
Signal (ajakiri)	Сигнал (журнал, 1940—1945)
2002. aasta Saksamaa parlamendivalimised	Парламентские выборы в Германии (2002)
Kuramaa lahingud	Курляндский котёл
Kanderakett	Ракета-носитель
Guntram Rikas	Гунтрам Богатый
Münsteri piiskopkond	Мюнстерское княжество-епископство
Petitsioon	Петиция
Argentina riigipeade loend	Президенты Аргентины
Šamaan	Шаман
MP3-mängija	Цифровой проигрыватель
Necil Kazım Akses	Неджиль Казым Аксес
Gerhard von Kügelgen	Кюгельген, Герхардт фон
ZU-23-2	ЗУ-23
Hofbräuhaus	Hofbräu
M10 Wolverine	M10 (САУ)
Wirbelwind	Wirbelwind
Hanafuda	Ханафуда
Korean Central Television	Корейское центральное телевидение
Stielhandgranate 24	Stielhandgranate
Esimene Harkivi lahing	Харьковская операция (1941)
Ram (tank)	Рэм (танк)
Ostwind	Ostwind
Kamikaze Kaito Jeanne	Kamikaze Kaito Jeanne
Gigabyte	Gigabyte Technology
Tali-Ihantala lahing	Сражение при Тали-Ихантала
Limburgi hertsogkond	Лимбург (герцогство)
Bikari atoll	Бикар (атолл)
Raliki saared	Ралик
Meinhard	Мейнард Зегеберг
Amykos	Амик
Pahlen	Палены
Rémy Martin	Rémy Martin
1978. aasta ujumise maailmameistrivõistlused	Чемпионат мира по водным видам спорта 1978
Saab 105	Saab 105
Väegrupp F	Группа армий «F»
Dalmaatsia kuningriik	Королевство Далмация
Anabari rahvusuluss	Анабарский улус
Möbelwagen	Möbelwagen
Itaalia sõda (1521–1526)	Итальянская война (1521—1526)
Kugelblitz	Kugelblitz
Arorae	Арораэ
Walter von Cronberg	Кронберг, Вальтер фон
Suudlus (Klimt)	Поцелуй (картина Климта)
Götzis	Гётцис
Brõnsa	Брынза
Austria riiklik Euroopa kirjanduse auhind	Австрийская государственная премия по европейской литературе
Cai Mingliang	Цай Минлян
HTC Desire HD	HTC Desire HD
Wen Wang	Вэнь-ван (Чжоу)
ÜRO Abistamis- ja Taastamisadministratsioon	Администрация помощи и восстановления Объединённых Наций
Richard Maack	Маак, Ричард Карлович
CARE	CARE International
Tempelmark	Фискальная марка
Fernando d'Ávalos	Д’Авалос, Фернандо
SS-Surnupealuusõrmus	Кольцо «Мёртвая голова»
Arresø	Арресё
Jungholzi vald	Юнгхольц
Göösid	Гёзы
Monster	Landkreuzer P. 1500 Monster
Vladimir Jakunin	Якунин, Владимир Иванович
Sileesia sõjad	Силезские войны
Austria ertshertsogkond	Эрцгерцогство Австрия
Arrasi unioon	Аррасская уния
Rataki saared	Ратак
Ministeriaal	Министериал
Pinnastee	Грунтовая дорога
Mecklenburgid	Мекленбургский дом
Marki krahvkond	Марк (графство)
Howaldtswerke-Deutsche Werft	Howaldtswerke-Deutsche Werft
Henry Oldenburg	Ольденбург, Генри
Friedrich II (Brandenburg-Ansbach)	Фридрих I (маркграф Бранденбург-Ансбаха)
Oberlichtenau vald	Оберлихтенау
Friedrich von Buxhoeveden	Буксгевден, Фёдор Фёдорович
Rolf Kasparek	Каспарек, Рольф
1986. aasta Euroopa meistrivõistlused kergejõustikus	Чемпионат Европы по лёгкой атлетике 1986
Mauerbach	Мауэрбах
Henschel Hs 126	Henschel Hs 126
Linnuke	Птаха (фильм)
Pandora laegas (film)	Ящик Пандоры (фильм)
Ludwig II (film 1972)	Людвиг (фильм)
Paavo Järvi	Ярви, Пааво
Erika	Эрика (марш)
Dharmatrummi Mägi	Фагушань
Saksa Riigi kapitulatsiooniakt	Акт капитуляции Германии
Wildenhaini vald	Вильденхайн
Raschau	Рашау
Velikije Luki operatsioon	Великолукская наступательная операция
1991. aasta mäesuusatamise maailmameistrivõistlused	Чемпионат мира по горнолыжному спорту 1991
Noreia	Норея
Karkrist	Костыльный крест
1958. aasta mäesuusatamise maailmameistrivõistlused	Чемпионат мира по горнолыжному спорту 1958
Revolutsioonilised Rakud	Революционные ячейки (ФРГ)
Mayerling	Майерлинг
2013. aasta mäesuusatamise maailmameistrivõistlused	Чемпионат мира по горнолыжному спорту 2013
2002. aasta Austria parlamendivalimised	Парламентские выборы в Австрии (2002)
George Browne	Броун, Юрий Юрьевич
Klaus Iohannis	Йоханнис, Клаус
Oker	Окер
Rahhat Älijev	Алиев, Рахат Мухтарович
Dücker	Дюкер (дворянский род)
Austria riigipeade loend	Список правителей Австрии
Travendali rahu	Мир в Травендале
Courvoisier	Courvoisier
Euroopa kontsert	Венская система международных отношений
Austria parlamendihoone	Здание парламента (Вена)
Viini klassikaline koolkond	Венская классическая школа
Kärnteni hertsogkond	Герцогство Каринтия
Detailplaneering	Градостроительное зонирование
Norman Manea	Маня, Норман
Salvador de Madariaga	Мадарьяга, Сальвадор де
Liivimaa vanem riimkroonika	Ливонская рифмованная хроника
Väegrupp Nordukraine	Группа армий «Северная Украина»
Ühiskondlik omand	Общественная собственность
Asendusteenistus	Альтернативная гражданская служба
Aleksei Adašev	Адашев, Алексей Фёдорович
Saksamaa Ida-Aasia eskaader	Германская Восточно-Азиатская крейсерская эскадра
Johann von Tiefen	Иоганн фон Тифен
Friedersdorfi vald (Saksimaa)	Фридерсдорф (Шпрее)
Color Line	Color Line
Besse Cooper	Купер, Бесси
Oldřich Machač	Махач, Олдржих
Friedrich IV (Švaabimaa)	Фридрих IV (герцог Швабии)
Évry ringkond	Эври (округ)
Johann Mühlegg	Мюлегг, Йохан
1979. aasta laskesuusatamise maailmameistrivõistlused	Чемпионат мира по биатлону 1979
1931. aasta põhja suusaalade maailmameistrivõistlused	Чемпионат мира по лыжным видам спорта 1931
1967. aasta laskesuusatamise maailmameistrivõistlused	Чемпионат мира по биатлону 1967
1966. aasta laskesuusatamise maailmameistrivõistlused	Чемпионат мира по биатлону 1966
Passau leping	Пассауский договор
Strahwalde	Штравальде
Mücka vald	Мюка
Vierkircheni vald (Oberlausitz)	Фиркирхен (Верхняя Лужица)
Klitten	Клиттен
Otto I (Braunschweig)	Оттон I (герцог Брауншвейг-Люнебурга)
Frangimaa hertsogkond	Франкония (герцогство)
Kuna (Ukraina)	Куна (Гайсинский район)
Studena	Студёная (Украина)
Zagnitkiv	Загнитков
Gutõ	Гуты (Винницкая область)
Erikub	Эрикуб
F-RAM	FRAM
Kossakivka (Lõpovetsi rajoon)	Косаковка (Липовецкий район)
Kuhja-uruhiir	Восточноевропейская полёвка
Soo-uruhiir	Полёвка-экономка
Markersbach	Маркерсбах
Ameerika viupart	Американская свиязь
Martin Jakš	Якш, Мартин
Kohhanivka (Lõpovetsi rajoon)	Кохановка (Липовецкий район)
Lobstädti vald	Лобштедт
Nikolai kvartal	Николаифиртель
Ameerika piilpart	Зеленокрылый чирок
Sverdlivka (Lõpovetsi rajoon)	Свердловка (Винницкая область)
Ljuben Berov	Беров, Любен Борисов
Philip de László	Де Ласло, Филип
Pavol Hurajt	Гурайт, Павол
Emil Jönsson	Йёнссон, Эмиль
Albany (Austraalia)	Албани
Arsen Avakov	Аваков, Арсен Борисович
Dobri Božilov	Божилов, Добри
Pavel Karelin	Карелин, Павел Владимирович
Valentin Haüy	Гаюи, Валентин
Konstantin Muraviev	Муравиев, Константин Владов
John Kristian Dahl	Даль, Йон Кристиан
Sami Jauhojärvi	Яухоярви, Сами
Tony Kushner	Кушнер, Тони
Jüri Jaanson	Яансон, Юрий Арноевич
Yuriorkis Gamboa	Гамбоа, Юриоркис
Sándor Garbai	Гарбаи, Шандор
Viktor Vekselberg	Вексельберг, Виктор Феликсович
Sergei Uvarov	Уваров, Сергей Семёнович
Mecklenburgi valitsejate loend	Список герцогов и великих герцогов Мекленбурга
Wilhelm Kettler	Вильгельм (герцог Курляндии)
Werner Bergengruen	Бергенгрюн, Вернер
Gemauerthofi lahing	Битва при Гемауертгофе
Arseni Zakrevski	Закревский, Арсений Андреевич
Lähivõitluspannal	Нагрудный знак «За ближний бой»
Christian Heinrich Pander	Пандер, Христиан Иванович
Ungern-Sternberg	Унгерн фон Штернберг
Teun van Dijk	Дейк, Тён ван
Stefani-Boltzmanni seadus	Закон Стефана — Больцмана
Uglja	Угля
Bathurst	Батерст (город, Австралия)
Lõuna-hõbekajakas	Средиземноморская чайка
Suur-turteltuvi	Большая горлица
Nikola Petrović-Njegoš	Петрович-Негош, Никола
SdKfz 9	Sd.Kfz.9
Lippe vürstlik perekond	Дом Липпе
Meyer Werft	Meyer Werft
Cluster	Cluster
Enigma (film 2001)	Энигма (фильм, 2001)
Seagate Technology	Seagate Technology
Valged bussid	Белые автобусы
Heinkel He 60	Heinkel He 60
Helsingborgi lahing (1710)	Битва при Хельсингборге
Pöhla	Пёла
1978. aasta mäesuusatamise maailmameistrivõistlused	Чемпионат мира по горнолыжному спорту 1978
Gojko Mitić	Митич, Гойко
Johann Reinhold von Patkul	Паткуль, Иоганн Рейнгольд
Vaivara koonduslaager	Вайвара (концентрационный лагерь)
Anhalti Vaba Riik	Свободное государство Ангальт
PhysX	PhysX
Kanonenjagdpanzer	Kanonenjagdpanzer
Lõuna-hallõgija	Пустынный сорокопут
Polioviirus	Полиовирус
Wang Yaping	Ван Япин
Sunniviisiline töö	Принудительный труд
Ferdinand Johann Wiedemann	Видеман, Фердинанд Иванович
Arta	Арта (город, Джибути)
Tara jõgi (Irtõš)	Тара (приток Иртыша)
Arta piirkond	Арта (регион)
Theodor Kullak	Куллак, Теодор
Anhalt-Zerbst	Ангальт-Цербст (княжество)
Cixi (Ningbo)	Цыси (город)
Ludvig Nobel	Нобель, Людвиг Эммануилович
Auguste Herbin	Эрбен, Огюст
Art director	Арт-директор
Allar Levandi	Леванди, Аллар
Kavatsus	Интенция
Väegrupp Afrika	Группа армий «Африка»
Hansarist	Ганзейский крест
Artemivsk	Артёмовск
Håkan Loob	Лооб, Хокан
Alberto Braglia	Бралья, Альберто
Eduard Artemjev	Артемьев, Эдуард Николаевич
Fjodor Gladkov	Гладков, Фёдор Васильевич
Jegor Ligatšov	Лигачёв, Егор Кузьмич
Jim Jones	Джонс, Джим (рэпер)
Martin Reim	Рейм, Мартин
Tapio Korjus	Корьюс, Тапио
Eero Aarnio	Аарнио, Ээро
Jaak Uudmäe	Уудмяэ, Яак Яакович
Tihhon Rabotnov	Работнов, Тихон Александрович
Jukums Vācietis	Вацетис, Иоаким Иоакимович
Vjatšeslav Ivanenko	Иваненко, Вячеслав Иванович
Edward Crook	Крук, Эдвард
Mihhail Lavrentjev	Лаврентьев, Михаил Алексеевич
Jack Shea	Ши, Джек
Krahvivaenus	Графская распря
Juudi Geto Politsei	Еврейская полиция
Igor Severjanin	Игорь Северянин
Jean Jacques Friedrich Wilhelm Parrot	Паррот, Иоганн Фридрих
Steatiit	Талькохлорит
Javier Echevarría	Хавьер Эчеваррия Родригес
Madrus	Матрос
Metsik roos	Дикая Роза
Paneriai	Паняряй
Landesveer	Прибалтийский ландесвер
Hebei (Tianjin)	Хэбэй (Тяньцзинь)
Stephenson King	Кинг, Стивенсон
Sofoklís Venizélos	Венизелос, Софоклис
Panagiótis Kanellópoulos	Канеллопулос, Панайотис
Vieno Johannes Sukselainen	Сукселайнен, Виено
Abiturient	Абитуриент
Jacob Frank	Франк, Яков
David Tua	Туа, Дэвид
Baieri ringkond	Баварский округ
Arthur Crudup	Крудап, Артур
Eero Mäntyranta	Мянтюранта, Ээро
Knut Steen	Стеен, Кнут
Tuoppajärvi	Топозеро
Jüri Tarmak	Тармак, Юри Аадувич
Arthur H. Robinson	Робинсон, Артур
Domitius Domitianus	Домиций Домициан
Jens Arne Svartedal	Свартедал, Йенс Арне
Nils Karlsson	Карлссон, Нильс
Pål Gunnar Mikkelsplass	Миккельспласс, Пол Гуннар
Assar Rönnlund	Рённлунд, Ассар
Juhan Aavik	Аавик, Юхан
Johannes Vares	Барбарус, Йоханнес
Marián Čalfa	Чалфа, Мариан
Arthur Jensen	Дженсен, Артур
Māris Gailis	Гайлис, Марис
Stephen Heller	Геллер, Стефан
Kastuś Kalinoŭski	Калиновский, Константин Семёнович
Arthur Laurents	Лорентс, Артур
Gérard Blain	Блен, Жерар
Tarmo Neemelo	Неэмело, Тармо
Sergei Tivjakov	Тивяков, Сергей Николаевич
Viktor Kingissepp	Кингисепп, Виктор Эдуардович
Jaan Tõnisson	Тыниссон, Яан
Azzeddine Laraki	Лараки, Азеддин
Gottfried Heinrich Bach	Бах, Готфрид Генрих
Alex Callinicos	Каллиникос, Алекс
Aleksandr Poleštšuk	Полещук, Александр Фёдорович
Robert Kagan	Каган, Роберт
Nikolai Repnin	Репнин, Николай Васильевич
Ion Emanuel Florescu	Флореску, Ион Эмануил
Tinlot' vald	Тенло
Hannu Manninen	Маннинен, Ханну
Lars Magnus Ericsson	Эрикссон, Ларс Магнус
Matteo II Visconti	Маттео II Висконти
Keskmine surmav annus	ЛД50
Rietavase omavalitsus	Ретавское самоуправление
Euroopa Liidu kolmik	Евротройка
De facto	Де-факто
Ruutkilomeeter	Квадратный километр
Vassõlivka	Васильевка (город)
Riikide loend rahvaarvu järgi	Список стран по населению
Neerupealis	Надпочечники
Elund	Орган (биология)
Henk Badings	Бадингс, Хенк
Albus Dumbledore	Альбус Дамблдор
Billie Joe Armstrong	Армстронг, Билли Джо
Lümfisüsteem	Лимфатическая система
Kesago Nakajima	Накадзима, Кэсаго
