افریقہ	Африка
سانچہ:Country data India	Шаблон:Флагификация/Индия
زمرہ:بازنطینی سلطنت	Категория:Византия
زمرہ:فلسطین	Категория:Палестина
زمرہ:مترجمین	Категория:Переводчики
سانچہ:امریکی صدور	Шаблон:Президенты США
زمرہ:فرشتے	Категория:Ангелы
زمرہ:ترکی کے علاقے	Категория:Регионы Турции
زمرہ:ریاست واشنگٹن	Категория:Вашингтон (штат)
زمرہ:مراکش کے شہر	Категория:Города Марокко
زمرہ:یونانی معبود	Категория:Древнегреческие боги
سانچہ:خانہ معلومات پہاڑ	Шаблон:Вершина
زمرہ:نیدرلینڈز کی ذیلی تقسیم	Категория:Административное деление Нидерландов
سانچہ:Rellink	Шаблон:Rellink
سانچہ:Navbox subgroup	Шаблон:Navbox subgroups
زمرہ:تاریخ بلحاظ دور	Категория:История по периодам
سانچہ:سال پیدائش اور عمر	Шаблон:Родился
سانچہ:Did you know	Шаблон:Знаете ли вы
سانچہ:Country data Algeria	Шаблон:Флагификация/Алжир
زمرہ:بحرینات بلحاظ قسم	Категория:Типы судов и кораблей
سانچہ:فہرست افریقی دارالحکومت	Шаблон:Столицы Африки
سانچہ:ٹی وی چینل	Шаблон:Телеканал
سانچہ:خانہ معلومات نسلی گروہ	Шаблон:Народ
سانچہ:خانہ وثق	Шаблон:Архив
زمرہ:پیمائشی اکائیاں	Категория:Единицы измерения
سانچہ:نام مہینہ	Шаблон:MONTHNAME
سانچہ:زمرہ رجوع مکرر	Шаблон:Переименованная категория
سانچہ:Country data Venezuela	Шаблон:Флагификация/Венесуэла
سانچہ:اٹلی کے علاقے	Шаблон:Регионы Италии
سانچہ:Country data Fiji	Шаблон:Флагификация/Фиджи
سانچہ:Infobox officeholder	Шаблон:Государственный деятель
سانچہ:Commons category-inline	Шаблон:Commonscat-inline
سانچہ:Historical populations	Шаблон:Прирост населения
سانچہ:Sister project links	Шаблон:Навигация
زمرہ:انقلابات	Категория:Революционеры
سانچہ:CPV	Шаблон:CPV
سانچہ:Sortname	Шаблон:Sortname
سانچہ:Country data Andorra	Шаблон:Флагификация/Андорра
سانچہ:خانہ معلومات محفوظ علاقہ	Шаблон:Заповедная зона
سانچہ:Country data Angola	Шаблон:Флагификация/Ангола
سانچہ:Cc-by-sa-2.5	Шаблон:CC-BY-SA-2.5
زمرہ:لکڑکاری	Категория:Деревообработка
سانچہ:Country data Botswana	Шаблон:Флагификация/Ботсвана
سانچہ:Country data European Union	Шаблон:Флагификация/Европейский союз
سانچہ:Rand	Шаблон:Rand
سانچہ:کنارا	Шаблон:Граница
سانچہ:Country data Dominica	Шаблон:Флагификация/Доминика
زمرہ:ترک زبان	Категория:Турецкий язык
زمرہ:خودمختار ہسپانوی اسماج	Категория:Автономные сообщества Испании
سانچہ:Country data Portugal	Шаблон:Флагификация/Португалия
سانچہ:تاریخ وفات اور عمر	Шаблон:Умер
سانچہ:Country data Ireland	Шаблон:Флагификация/Ирландия
سانچہ:خانہ معلومات ماڈل	Шаблон:Фотомодель
زمرہ:قذاقی	Категория:Пиратство
زمرہ:1879ء کی پیدائشیں	Категория:Родившиеся в 1879 году
سانچہ:URS	Шаблон:USSR
سانچہ:عدد مہینہ	Шаблон:MONTHNUMBER
زمرہ:افراد کے نامکمل مضامین	Категория:Незавершённые статьи о людях
سانچہ:Country data Vatican City	Шаблон:Флагификация/Ватикан
زمرہ:1955ء کی پیدائشیں	Категория:Родившиеся в 1955 году
زمرہ:سماجی جالکارات	Категория:Социальные сети
سانچہ:Top icon	Шаблон:Right-uppermost image
زمرہ:1823ء کی پیدائشیں	Категория:Родившиеся в 1823 году
زمرہ:1963ء کی پیدائشیں	Категория:Родившиеся в 1963 году
سانچہ:Country data Europe	Шаблон:Флагификация/Европа
زمرہ:سانچہ جات معطیات ممالک	Категория:Шаблоны:Флагификация
سانچہ:Namespace detect	Шаблон:Namespace detect
سانچہ:PD-USGov	Шаблон:PD-USGov
زمرہ:1884ء کی وفیات	Категория:Умершие в 1884 году
زمرہ:سیمسنگ الیکٹرانکس	Категория:Samsung Electronics
زمرہ:1875ء کی وفیات	Категория:Умершие в 1875 году
زمرہ:1868ء کی پیدائشیں	Категория:Родившиеся в 1868 году
زمرہ:عبرانی کتاب مقدس	Категория:Танах
زمرہ:1812ء کی پیدائشیں	Категория:Родившиеся в 1812 году
زمرہ:1817ء کی پیدائشیں	Категория:Родившиеся в 1817 году
ویکیپیڈیا:منتخب اہم ایام/فروری	Проект:События дня/Февраль
زمرہ:1837ء کی پیدائشیں	Категория:Родившиеся в 1837 году
زمرہ:نوبل انعام یافتہ طبیعیات دان	Категория:Лауреаты Нобелевской премии по физике
زمرہ:1863ء کی وفیات	Категория:Умершие в 1863 году
زمرہ:1829ء کی پیدائشیں	Категория:Родившиеся в 1829 году
زمرہ:نوبل انعام یافتہ کیمیا دان	Категория:Лауреаты Нобелевской премии по химии
زمرہ:1998ء کی پیدائشیں	Категория:Родившиеся в 1998 году
زمرہ:1802ء کی وفیات	Категория:Умершие в 1802 году
زمرہ:یہود	Категория:Евреи
زمرہ:1801ء کی وفیات	Категория:Умершие в 1801 году
زمرہ:دنیائے عرب	Категория:Арабский мир
زمرہ:1492ء کی وفیات	Категория:Умершие в 1492 году
زمرہ:1834ء کی پیدائشیں	Категория:Родившиеся в 1834 году
زمرہ:1498ء کی وفیات	Категория:Умершие в 1498 году
زمرہ:1433ء کی وفیات	Категория:Умершие в 1433 году
زمرہ:1457ء کی وفیات	Категория:Умершие в 1457 году
زمرہ:1435ء کی وفیات	Категория:Умершие в 1435 году
زمرہ:1461ء کی وفیات	Категория:Умершие в 1461 году
زمرہ:1408ء کی وفیات	Категория:Умершие в 1408 году
زمرہ:1497ء کی وفیات	Категория:Умершие в 1497 году
زمرہ:1429ء کی وفیات	Категория:Умершие в 1429 году
زمرہ:1430ء کی وفیات	Категория:Умершие в 1430 году
زمرہ:1508ء کی وفیات	Категория:Умершие в 1508 году
زمرہ:1165ء کی وفیات	Категория:Умершие в 1165 году
زمرہ:1499ء کی وفیات	Категория:Умершие в 1499 году
زمرہ:1455ء کی وفیات	Категория:Умершие в 1455 году
زمرہ:1156ء کی وفیات	Категория:Умершие в 1156 году
زمرہ:1417ء کی وفیات	Категория:Умершие в 1417 году
زمرہ:1490ء کی وفیات	Категория:Умершие в 1490 году
زمرہ:1080ء کی وفیات	Категория:Умершие в 1080 году
زمرہ:پرچم بلحاظ ملک	Категория:Флаги по странам
سانچہ:متصل	Шаблон:Outdent
زمرہ:1764ء کی وفیات	Категория:Умершие в 1764 году
سانچہ:Fmbox	Шаблон:Fmbox
زمرہ:1434ء کی وفیات	Категория:Умершие в 1434 году
سانچہ:Navbox with collapsible sections	Шаблон:Навигационная таблица с блоками
سانچہ:Country data China	Шаблон:Флагификация/Китай
سانچہ:Country data Benin	Шаблон:Флагификация/Бенин
سانچہ:Country data Republic of the Congo	Шаблон:Флагификация/Республика Конго
سانچہ:ویکائی	Шаблон:Викифицировать
سانچہ:Country data England	Шаблон:Флагификация/Англия
سانچہ:اوقیانوسیہ کے ممالک اور خطے	Шаблон:Океания
سانچہ:Family tree/end	Шаблон:Familytree/end
زمرہ:انیسویں صدی	Категория:XIX век
سانچہ:Country data Turkey	Шаблон:Флагификация/Турция
زمرہ:مصنفین	Категория:Писатели
سانچہ:حقوق نسخہ	Шаблон:Нарушение авторских прав
زمرہ:عسکریہ	Категория:Вооружённые силы
سانچہ:Yel	Шаблон:ЖК
سانچہ:Country data Cyprus	Шаблон:Флагификация/Кипр
سانچہ:Country data Switzerland	Шаблон:Флагификация/Швейцария
زمرہ:جامعات و کلیات	Категория:Университеты
سانچہ:Country data Russian Empire	Шаблон:Флагификация/Российская империя
سانچہ:Country data Philippines	Шаблон:Флагификация/Филиппины
سانچہ:Country data Belarus	Шаблон:Флагификация/Белоруссия
سانچہ:Hidden begin	Шаблон:Начало скрытого блока
زمرہ:شمالی آئر لینڈ کے آباد مقامات	Категория:Населённые пункты Северной Ирландии
سانچہ:Country data Greenland	Шаблон:Флагификация/Гренландия
سانچہ:Country data Malaysia	Шаблон:Флагификация/Малайзия
سانچہ:Country data Armenia	Шаблон:Флагификация/Армения
سانچہ:Country data Zimbabwe	Шаблон:Флагификация/Зимбабве
سانچہ:Country data Timor-Leste	Шаблон:Флагификация/Восточный Тимор
ویکیپیڈیا:دیوان عام/تجاویز	Википедия:Форум/Предложения
زمرہ:چھپکلیاں	Категория:Ящерицы
سانچہ:خانہ معلومات انتخابات	Шаблон:Карточка выборов
سانچہ:Lang-he	Шаблон:Lang-he
سانچہ:ATF	Шаблон:ATF
سانچہ:Country data Myanmar	Шаблон:Флагификация/Мьянма
سانچہ:Gain	Шаблон:Рост
سانچہ:Infobox flag	Шаблон:Карточка флага
سانچہ:Country data Kazakhstan	Шаблон:Флагификация/Казахстан
سانچہ:PD-US	Шаблон:PD-US
سانچہ:Country data Chile	Шаблон:Флагификация/Чили
سانچہ:Country data Slovenia	Шаблон:Флагификация/Словения
سانچہ:Country data Lebanon	Шаблон:Флагификация/Ливан
سانچہ:خانۂ معلومات کتاب	Шаблон:Издание
سانچہ:Country data Northern Cyprus	Шаблон:Флагификация/Турецкая Республика Северного Кипра
زمرہ:عربی الفاظ اور جملے	Категория:Арабские фразы
سانچہ:Country data Bhutan	Шаблон:Флагификация/Бутан
سانچہ:Tlc	Шаблон:Tlc
سانچہ:Nat fs g start	Шаблон:Текущий состав сборной голы (начало)
زمرہ:سربراہان ریاست	Категория:Правители
سانچہ:Country data Ceylon	Шаблон:Флагификация/Цейлон
نظریۂ احتمال	Теория вероятностей
سانچہ:باز گفتگو	Шаблон:Ответ
سانچہ:Infobox planet	Шаблон:Карточка планеты
زمرہ:1931ء	Категория:1931 год
زمرہ:1958ء	Категория:1958 год
زمرہ:1956ء	Категория:1956 год
زمرہ:1944ء	Категория:1944 год
زمرہ:جنوری	Категория:Январь
زمرہ:1916ء	Категория:1916 год
زمرہ:سیاست بلحاظ براعظم	Категория:Политика по регионам
زمرہ:1939ء	Категория:1939 год
سانچہ:مکتنز دوری جدول	Шаблон:Периодическая система элементов
سانچہ:Lang-fa	Шаблон:Lang-fa
زمرہ:1909ء	Категория:1909 год
سانچہ:Ethnologue16	Шаблон:Ethnologue
زمرہ:کینیڈا کے دریا	Категория:Реки Канады
سانچہ:Infobox civilian attack	Шаблон:Террористическая атака
زمرہ:سینٹ پیٹرز برگ	Категория:Санкт-Петербург
زمرہ:ہدایتکار	Категория:Режиссёры
زمرہ:سویڈن کی سیاسی جماعتیں	Категория:Политические партии Швеции
زمرہ:جمہوریہ انگوشتیا	Категория:Ингушетия
زمرہ:کراچائے-چرکیسیا	Категория:Карачаево-Черкесия
زمرہ:کریسنوڈار کرائی	Категория:Краснодарский край
زمرہ:داغستان	Категория:Дагестан
زمرہ:انجمان و اسماج	Категория:Клубы
سانچہ:Location map Russia Mari El	Шаблон:ПозКарта Россия Марий Эл
سانچہ:پوشیدہ	Шаблон:Скрытый
سانچہ:GTM	Шаблон:GTM
زمرہ:برازیل میں تعلیم	Категория:Образование в Бразилии
زمرہ:تاریخ مونٹینیگرو	Категория:История Черногории
زمرہ:صنعتی عوامل	Категория:Производственные процессы и операции
زمرہ:فوکوئی پریفیکچر	Категория:Префектура Фукуи
زمرہ:شمارندی بصارت	Категория:Компьютерное зрение
زمرہ:وزرائے پرتگال	Категория:Министры Португалии
سانچہ:خانہ معلومات موقع حبالہ	Шаблон:Карточка сайта
زمرہ:تاریخ بلحاظ ملک سانچہ جات	Категория:Навигационные шаблоны:История стран
زمرہ:قشتالہ	Категория:Кастилия
زمرہ:برازیل کی جامعات	Категория:Университеты Бразилии
زمرہ:1035ء	Категория:1035 год
زمرہ:عراق کی ذیلی تقسیم	Категория:Административное деление Ирака
زمرہ:1105ء کی وفیات	Категория:Умершие в 1105 году
زمرہ:2003ء کی پیدائشیں	Категория:Родившиеся в 2003 году
زمرہ:1221ء کی وفیات	Категория:Умершие в 1221 году
زمرہ:66ء	Категория:66 год
زمرہ:85ء	Категория:85 год
زمرہ:عسکری طرزیات	Категория:Военные технологии
سانچہ:Country data Two Sicilies	Шаблон:Флагификация/Королевство Обеих Сицилий
زمرہ:اینڈروئیڈ (آپریٹنگ سسٹم) سافٹ ویئر	Категория:Программное обеспечение для Android
سانچہ:Navboxes	Шаблон:Навигационный блок
سانچہ:Nat fs end	Шаблон:Текущий состав сборной (конец)
سانچہ:ادب کا نوبل انعام	Шаблон:Нобелевская премия по литературе
سانچہ:خانۂ معلومات مجمع النجوم	Шаблон:Созвездие
زمرہ:1022ء	Категория:1022 год
زمرہ:61ء	Категория:61 год
زمرہ:60ء	Категория:60 год
زمرہ:156ء	Категория:156 год
زمرہ:مذہبی عقائد، اقدار اور تحاریک	Категория:Религии
زمرہ:1415ء کی پیدائشیں	Категория:Родившиеся в 1415 году
زمرہ:لبنان کی ذیلی تقسیم	Категория:Административное деление Ливана
زمرہ:1101ء کی پیدائشیں	Категория:Родившиеся в 1101 году
زمرہ:50ء	Категория:50 год
زمرہ:طب اطفال	Категория:Педиатрия
زمرہ:816ء کی وفیات	Категория:Умершие в 816 году
سانچہ:PD-ineligible	Шаблон:PD-trivial
زمرہ:81ء کی وفیات	Категория:Умершие в 81 году
زمرہ:750ء کی پیدائشیں	Категория:Родившиеся в 750 году
زمرہ:230ء کی وفیات	Категория:Умершие в 230 году
سانچہ:عیسائیت	Шаблон:Христианство
زمرہ:نظریہ تضبیط	Категория:Теория управления
زمرہ:مغل شہنشاہ	Категория:Падишахи Великие Моголы
زمرہ:1851ء کے ناول	Категория:Романы 1851 года
سانچہ:Documentation subpage	Шаблон:Docpage
زمرہ:رزمیہ نظمیں	Категория:Эпос
زمرہ:64ء	Категория:64 год
سانچہ:Infobox number	Шаблон:Натуральное число
سانچہ:آسٹریلیا کی ریاستیں اور علاقہ جات	Шаблон:Административное деление Австралии
سانچہ:بھارت کی ریاستیں	Шаблон:Штаты и территории Индии
سانچہ:GMB	Шаблон:GMB
سانچہ:غیر زمرہ بند	Шаблон:Нет категорий
سانچہ:DMA	Шаблон:DMA
سانچہ:FRO	Шаблон:FRO
سانچہ:ZAF	Шаблон:ZAF
سانچہ:سرنامہ تبادلہ خیال	Шаблон:Заголовок обсуждения
سانچہ:بلند ترین اسم ساحہ ۔ ملکی/دستاویز	Шаблон:Национальные домены верхнего уровня
سانچہ:قرآن مجید کی سورتیں	Шаблон:Суры
سانچہ:POL	Шаблон:POL
سانچہ:Cc-by-2.0	Шаблон:CC-BY-2.0
سانچہ:Div col	Шаблон:Кол
ویب ہوسٹنگ خدمات	Хостинг
زمرہ:حکومت بلحاظ ملک	Категория:Государственное устройство по странам
زمرہ:شمالی قبرص	Категория:Турецкая Республика Северного Кипра
سانچہ:ایشیاء کے دارالحکومت	Шаблон:Столицы Азии
سانچہ:CUB	Шаблон:CUB
سانچہ:CMR	Шаблон:CMR
سانچہ:COD	Шаблон:COD
زمرہ:برونائی کے اضلاع	Категория:Округа Брунея
سانچہ:BIH	Шаблон:BIH
سانچہ:صوبہ روما کے قصبات	Шаблон:Провинция Рим
سانچہ:FIN	Шаблон:FIN
سانچہ:حیاتیات (حاشیہ)	Шаблон:Разделы биологии
سانچہ:ترکی-نامکمل	Шаблон:Turkey-stub
سانچہ:Bquote	Шаблон:Block quote
سانچہ:خانہ معلومات عالمی ثقافتی موقع	Шаблон:Объект Всемирного наследия
سانچہ:نظام عدد	Шаблон:Системы счисления
زمرہ:بلا حوالہ مضامین	Категория:Википедия:Статьи без ссылок на источники
زمرہ:پیمائشیات	Категория:Метрология
سانچہ:خانہ معلومات اسٹیشن	Шаблон:Железнодорожная станция
زمرہ:نقاشی	Категория:Живопись
زمرہ:قاعدہ معطیات	Категория:Базы данных
سانچہ:CAN	Шаблон:CAN
زمرہ:مغربی فلسفہ	Категория:Западная философия
سانچہ:Div col end	Шаблон:Конец кол
سانچہ:GFDL-self	Шаблон:GFDL-self
زمرہ:کھیلوں کی ٹیمیں بلحاظ ملک	Категория:Спортивные клубы по странам
سانچہ:خانہ معلومات یادگار	Шаблон:Достопримечательность
سانچہ:میکسیکو کی ریاستیں	Шаблон:Административное деление Мексики
سانچہ:برازیل کی ریاستیں	Шаблон:Штаты Бразилии
سانچہ:تطہیر	Шаблон:Очистить кэш
سانچہ:خانۂ معلومات کھیل	Шаблон:Вид спорта
سانچہ:Lang-de	Шаблон:Lang-de
سانچہ:منسوب	Шаблон:Attribution
سانچہ:DNK	Шаблон:DNK
سانچہ:خالی زمرہ	Шаблон:Не удаляйте категорию
سانچہ:If empty	Шаблон:Ifempty
زمرہ:مجالس قانون ساز	Категория:Органы законодательной власти
زمرہ:بندرگاہیں	Категория:Порты
سانچہ:Country data Austria-Hungary	Шаблон:Флагификация/Австро-Венгрия
زمرہ:سلافی نسلی گروہ	Категория:Славянские племена
زمرہ:خلائی طرزیات	Категория:Космические технологии
سانچہ:Infobox sportsperson	Шаблон:Спортсмен
سانچہ:Lang-la	Шаблон:Lang-la
زمرہ:تاریخ شمارندکاری	Категория:История компьютерной техники
زمرہ:سرطانات	Категория:Злокачественные новообразования
سانچہ:رموز ہوائی اڈا	Шаблон:Airport codes
زمرہ:غیر تسلیم شدہ یا بڑی حد تک غیر تسلیم شدہ ریاستیں	Категория:Непризнанные и частично признанные государства
غذا کے اجزا	Здоровое питание
زمرہ:ضبط تولید	Категория:Контрацепция
زمرہ:مرافقات بلحاظ قسم	Категория:Типы компаний
زمرہ:جذبہ	Категория:Эмоции
سانچہ:Location map USA	Шаблон:ПозКарта США (ортографическая)
سانچہ:مردہ ربط	Шаблон:Недоступная ссылка
زمرہ:خواجہ سریت	Категория:Трансгендерность
زمرہ:علم الکائنات	Категория:Космология
سانچہ:Lang-gr	Шаблон:Lang-el
سانچہ:گول	Шаблон:Гол
زمرہ:سربراہان ریاست بلحاظ ملک	Категория:Правители по странам
زمرہ:ذخیرہ الفاظ	Категория:Лексика
سانچہ:FJI	Шаблон:FJI
پیش حجیرہ	Передняя камера
سانچہ:چین کی صوبہ سطحی تقسیم	Шаблон:Провинции КНР
زمرہ:مستعار الفاظ	Категория:Языковые заимствования
سانچہ:Nyse2	Шаблон:Nyse
سانچہ:خانہ معلومات چڑیا گھر	Шаблон:Зоопарк
زمرہ:کمیت	Категория:Масса
سانچہ:البانیا-نامکمل	Шаблон:Albania-stub
سانچہ:صارف صفحہ	Шаблон:Userpage
سانچہ:DEU	Шаблон:DEU
سانچہ:CYM	Шаблон:CYM
زمرہ:یوکون کے شہر	Категория:Города Территории Юкон
سانچہ:BEN	Шаблон:BEN
زمرہ:ملائیشیا کی شخصیات	Категория:Персоналии:Малайзия
سانچہ:Lang-my	Шаблон:Lang-my
زمرہ:صدقہ	Категория:Благотворительность
سانچہ:Arxiv	Шаблон:ArXiv
سانچہ:Location map China (equirectangular)	Шаблон:ПозКарта Китайская Народная Республика (ортографическая)
سانچہ:Infobox artist	Шаблон:Художник
سانچہ:آزاد ریاستوں کی دولت مشترکہ	Шаблон:СНГ
زمرہ:اقتصادی اشارے	Категория:Экономические показатели
سانچہ:فہرست شمال امریکی دارالحکومت	Шаблон:Столицы Северной Америки
زمرہ:ہفتے	Категория:Неделя
زمرہ:الفاظ	Категория:Статьи о словах
سانچہ:SWE	Шаблон:SWE
سانچہ:Note label	Шаблон:Note
زمرہ:فرانس کے جزائر	Категория:Острова Франции
سانچہ:Lang-af	Шаблон:Lang-af
زمرہ:تخلیقات بلحاظ مصنف	Категория:Сочинения по авторам
زمرہ:برطانیہ کی جامعات	Категория:Университеты Великобритании
زمرہ:تشریح نباتات	Категория:Анатомия растений
زمرہ:الکحولات	Категория:Спирты
ویکیپیڈیا:منتخب اہم ایام/دسمبر	Проект:События дня/Декабрь
سانچہ:NASDAQ	Шаблон:NASDAQ
سانچہ:برما (میانمار) کی انتظامی تقسیم	Шаблон:Округа Мьянмы
سانچہ:خانہ معلومات البم	Шаблон:Музыкальный альбом
سانچہ:خانۂ معلومات عسکری شخصیت	Шаблон:Военный деятель
زمرہ:فن لینڈ میں صحت	Категория:Здравоохранение в Финляндии
زمرہ:چھتیس گڑھ کے ضلع	Категория:Округа Чхаттисгарха
سانچہ:Infobox French region	Шаблон:Регион Франции
سانچہ:Et icon	Шаблон:Ref-et
سانچہ:YEM	Шаблон:YEM
سانچہ:صوتی ویکیپیڈیا	Шаблон:Слушать статью
زمرہ:اجسام آب	Категория:Водоёмы
زمرہ:برطانیہ کے عسکری آلات	Категория:Военная техника Великобритании
زمرہ:یروشلم کی عمارات و ساخات	Категория:Здания и сооружения Иерусалима
زمرہ:اسرائیل کی جامعات	Категория:Университеты Израиля
زمرہ:1454ء کی پیدائشیں	Категория:Родившиеся в 1454 году
زمرہ:1018ء کی وفیات	Категория:Умершие в 1018 году
سانچہ:ویکیپیڈیا	Шаблон:Крупнейшие Википедии
زمرہ:قازقستان اولمپکس میں	Категория:Казахстан на Олимпийских играх
زمرہ:کروشیا اولمپکس میں	Категория:Хорватия на Олимпийских играх
زمرہ:1912ء کی فلمیں	Категория:Фильмы 1912 года
زمرہ:ایران میں فنون	Категория:Искусство Ирана
سانچہ:Clarify	Шаблон:Прояснить
سانچہ:ناحوالہ	Шаблон:Нет ссылок
سانچہ:Lorem ipsum	Шаблон:Lorem ipsum
سانچہ:Year nav	Шаблон:Навигация для года
سانچہ:بلغاریہ کے صوبے	Шаблон:Области Болгарии
زمرہ:ویتنام کے ہوائی اڈے	Категория:Аэропорты Вьетнама
زمرہ:کمپنیاں	Категория:Компании
سانچہ:خانہ فٹ بال	Шаблон:Отчёт о матче
سانچہ:تبدیلی نام	Шаблон:Renameuser
زمرہ:کھیلوں کی شخصیات	Категория:Персоналии:Спорт
زمرہ:اخلاقیات	Категория:Этика
سانچہ:ہنگامی تعطیل روبہ	Шаблон:Аварийное выключение бота
ازالیہ	Азалия
زمرہ:مصنفین بلحاظ قومیت	Категория:Писатели по странам
سانچہ:Image label small	Шаблон:Image label small
سانچہ:انڈورا کے پیرش	Шаблон:Общины Андорры
زمرہ:جغرافیہ کینیڈا	Категория:География Канады
سانچہ:نیا موضوع	Шаблон:AddNewSection
سانچہ:Nihongo	Шаблон:Нихонго
سانچہ:User fr-3	Шаблон:User fr-3
زمرہ:انسانی جنسیات	Категория:Сексуальность человека
زمرہ:کتاب پیدائش	Категория:Книга Бытия
سانچہ:آئی ایم ڈی بی نام	Шаблон:Imdb name
سانچہ:سات نئے عجائبات عالم	Шаблон:Новые семь чудес света
سانچہ:Ar icon	Шаблон:Ref-ar
زمرہ:سابقہ مستعمرات	Категория:Бывшие колонии
زمرہ:طبخ	Категория:Кулинария
زمرہ:ہسپانیہ کے پہاڑ	Категория:Горы Испании
زمرہ:شمارندی قانون	Категория:Информационное право
زمرہ:مختمر غذائیں	Категория:Ферментированная пища
سانچہ:BMU	Шаблон:BMU
زمرہ:بنگالی ادب	Категория:Литература Бенгалии
سانچہ:ABW	Шаблон:ABW
زمرہ:احصائی علوم	Категория:Актуарные расчёты
زمرہ:سنسکرت ادب	Категория:Санскритская литература
زمرہ:تونس	Категория:Тунис
سانچہ:Di-no source no license	Шаблон:PD-because
سانچہ:مس	Шаблон:Смайлик
سانچہ:Th icon	Шаблон:Ref-th
سانچہ:Not in source	Шаблон:Нет в источнике
زمرہ:جملے	Категория:Фразы
سانچہ:It icon	Шаблон:Ref-it
سانچہ:آلات گمنام صارفین	MediaWiki:Anontools
زمرہ:زری معاشیات	Категория:Монетарная экономика
زمرہ:ہوافضائی ہندسیات	Категория:Воздухоплавание
سانچہ:S-ttl	Шаблон:S-ttl
سانچہ:کلمہ نویسی	Шаблон:Transl
سانچہ:BS-header	Шаблон:BS-header
زمرہ:ماخز قانون	Категория:Источники права
سانچہ:خانہ معلومات فٹ بال میچ	Шаблон:Карточка футбольного матча
زمرہ:قانون اور معاشیات	Категория:Хозяйственное право
سانچہ:Video game release	Шаблон:Выпуск игры
سانچہ:خانہ معلومات اسٹیڈیم	Шаблон:Стадион
سانچہ:ترکمانستان کے صوبے	Шаблон:Административное деление Туркмении
زمرہ:مغذیات	Категория:Питательные вещества
سانچہ:خانہ معلومات غار	Шаблон:Пещера
سانچہ:ATA	Шаблон:ATA
سانچہ:ازبکستان کے صوبے	Шаблон:Области Узбекистана
سانچہ:خانہ معلومات سابقہ ملک	Шаблон:Историческое государство
زمرہ:بھارت میں دہشت گردی	Категория:Терроризм в Индии
زمرہ:بری افواج بلحاظ ملک	Категория:Сухопутные войска по странам
زمرہ:وینیزویلا کے پہاڑ	Категория:Горы Венесуэлы
زمرہ:تھائی لینڈ میں بدھ مندریں	Категория:Буддийские храмы Таиланда
زمرہ:آرمینیا کے پہاڑ	Категория:Горы Армении
زمرہ:جنوبی کوریا میں ٹیلی ویژن	Категория:Телевидение в Южной Корее
سانچہ:جاپان کے علاقہ جات اور انتظامی تقسیم	Шаблон:Регионы и административное деление Японии
سانچہ:چین-نامکمل	Шаблон:China-stub
زمرہ:سلطنت روس کی ذیلی تقسیم	Категория:Административно-территориальное деление Российской империи
زمرہ:نیوزی لینڈ کی ذیلی تقسیم	Категория:Административное деление Новой Зеландии
سانچہ:ویکی خبریں	Шаблон:Викиновости
سانچہ:Cmbox	Шаблон:Cmbox
سانچہ:رجوع مکرر	Шаблон:Перенаправление
سانچہ:Infobox Public transit	Шаблон:Карточка транспортной компании
سانچہ:Precision	Шаблон:Precision
زمرہ:آٹھویں صدی کی وفیات	Категория:Умершие в VIII веке
سانچہ:IPA chart/table vowels	Шаблон:Схема гласных МФА
سانچہ:Silver medal	Шаблон:Серебряная медаль
زمرہ:ایپل متشرک مصنع کثیف	Категория:Оборудование Apple Inc.
سانچہ:Bronze medal	Шаблон:Бронзовая медаль
سانچہ:Goca	Шаблон:1
زمرہ:مرافقات بلحاظ صنعت و ملک	Категория:Компании по отраслям и странам
سانچہ:خانہ معلومات بین الاقوامی فٹ بال مقابلہ	Шаблон:Соревнование футбольных сборных
زمرہ:مقدس رومی سلطنت کی ریاستیں	Категория:Государства Священной Римской империи
سانچہ:PAK	Шаблон:PAK
سانچہ:Gold medal	Шаблон:Золотая медаль
سانچہ:خانہ معلومات ٹینس سوانح	Шаблон:Теннисист
سانچہ:عمر دنوں میں	Шаблон:Days between
سانچہ:S-bef	Шаблон:S-bef
سانچہ:قدیم یونانی موضوعات	Шаблон:Древняя Греция в темах
سانچہ:سیاسی عہدہ	Шаблон:Государственная должность
زمرہ:جاپان کے شہر	Категория:Города Японии
سانچہ:ہدایت نامہ	Шаблон:Руководство
زمرہ:ملکی ذیلی تقسیمات بلحاظ ملک	Категория:Административное деление по странам
سانچہ:YouTube user	Шаблон:YouTube user
زمرہ:1960ء کی دہائی کی تاسیسات	Категория:Появились в 1960-е годы
سانچہ:Cc-by-sa-2.0	Шаблон:CC-BY-SA-2.0
زمرہ:بھارتی صدور	Категория:Президенты Индии
زمرہ:جاپان کی ذیلی تقسیم	Категория:Административное деление Японии
زمرہ:شمارندہ جات	Категория:Компьютеры
سانچہ:JULIANDAY	Шаблон:JULIANDAY
سانچہ:کولمبیا کے محکمہ جات	Шаблон:Департаменты Колумбии
زمرہ:سازوسامان	Категория:Оборудование
زمرہ:کیوبا کی ذیلی تقسیم	Категория:Административное деление Кубы
سانچہ:خانہ معلومات فنی تصویر	Шаблон:Произведение искусства
سانچہ:غیر متفق	Шаблон:Против
سانچہ:خانہ معلومات آبشار	Шаблон:Водопад
زمرہ:جاپان میں ٹیلی ویژن	Категория:Телевидение в Японии
زمرہ:یورپ میں قانون	Категория:Право в Европе
سانچہ:وثق تبادلۂ خیال	Шаблон:Архив обсуждения
سانچہ:Infobox UK place	Шаблон:НП-Великобритания
