Aprika	Африка
Grup:Yusa hsb-1	Категория:User hsb-1
Grup:Yusa hu	Категория:User hu
Grup:Yusa hu-1	Категория:User hu-1
Grup:Yusa hu-3	Категория:User hu-3
Grup:Politikis long kantri	Категория:Политика по странам
Templet:Country data Germany	Шаблон:Флагификация/Германия
Templet:Country data United Kingdom	Шаблон:Флагификация/Великобритания
Templet:Cl	Шаблон:Cl
Templet:Country data Skotlan	Шаблон:Флагификация/Шотландия
Grup:Yusa it	Категория:User it
Grup:Yusa it-1	Категория:User it-1
Grup:Yusa ja-1	Категория:User ja-1
Grup:Ol stet bilong Ol Yunaitet Stet	Категория:Штаты США
Grup:Ol provins bilong Vietnam	Категория:Провинции Вьетнама
Templet:Ol provins bilong Papua Niugini	Шаблон:Административное деление Папуа — Новой Гвинеи
Grup:Ol provins bilong Papua Niugini	Категория:Провинции Папуа — Новой Гвинеи
Grup:Lukluk bilong manmeri	Категория:Зрение
Grup:Yusa ru-1	Категория:User ru-1
Wikipedia:Babel	Википедия:Вавилон
Templet:Tdeprecated	Шаблон:Устаревший шаблон
Templet:Cc-by-sa-1.0	Шаблон:CC-BY-SA-1.0
Templet:·wrap	Шаблон:·wrap
Templet:User sv-1	Шаблон:User sv-1
Templet:MoS-guideline	Шаблон:Руководство по содержимому статей
Grup:Ol siti na taun bilong Polan	Категория:Города Польши
Templet:Country data Brazil	Шаблон:Флагификация/Бразилия
Grup:7	Категория:7 год
Templet:PD-old-70	Шаблон:PD-old-70
Grup:Paradisaeidae	Категория:Райские птицы
Grup:Saiens long Manmeri na Ples	Категория:Общественные науки
Templet:Country data Hungary	Шаблон:Флагификация/Венгрия
Grup:Ol tokples bilong Esia	Категория:Языки Азии
Grup:Ol kantri long Aprika	Категория:Страны Африки
Templet:JanueriKalendar	Шаблон:Календарь на январь
Grup:Yusa ru	Категория:User ru
Grup:Yusa ru-2	Категория:User ru-2
Grup:Yusa ru-3	Категория:User ru-3
Grup:Yusa ru-4	Категория:User ru-4
Grup:Yusa vi	Категория:User vi
Templet:Ref-en	Шаблон:Ref-en
Templet:Spaces	Шаблон:Nbsp
Templet:Lang	Шаблон:Lang
Templet:Template example row	Шаблон:Template example row
Templet:Nowrap end	Шаблон:Nowrap end
Templet:As of	Шаблон:На
Templet:User hsb-1	Шаблон:User hsb-1
Grup:Vemont	Категория:Вермонт
Grup:Kolorado	Категория:Колорадо
Templet:PD-self	Шаблон:PD-self
Templet:Cc-sa-1.0	Шаблон:CC-SA-1.0
Templet:ENG	Шаблон:ENG
Templet:Merge	Шаблон:К объединению
Grup:Politikis long PNG	Категория:Политика Папуа — Новой Гвинеи
Templet:User hu-1	Шаблон:User hu-1
Templet:User no-1	Шаблон:User no-1
Templet:User ru-1	Шаблон:User ru-1
Grup:Ubuntu	Категория:Ubuntu
Grup:Manmeri bilong Belaras	Категория:Белорусы
Grup:Manmeri bilong Papua Niugini	Категория:Персоналии:Папуа — Новая Гвинея
Templet:Country data Kosovo	Шаблон:Флагификация/Республика Косово
Grup:Intanet kod	Категория:Национальные домены верхнего уровня
Templet:Country data Aruba	Шаблон:Флагификация/Аруба
Grup:User no-2	Категория:User no-2
Grup:User no	Категория:User no
Grup:Armenia	Категория:Армения
Grup:Bhutan	Категория:Бутан
Templet:Country data Antigua and Barbuda	Шаблон:Флагификация/Антигуа и Барбуда
Grup:Ples balus	Категория:Аэропорты
Grup:Ol nesenel plak	Категория:Флаги государств
Grup:Not Koria	Категория:Корейская Народно-Демократическая Республика
Grup:Manmeri bilong Nauru	Категория:Персоналии:Науру
Grup:Manmeri bilong Ostrelia	Категория:Персоналии:Австралия
Grup:Vanuatu	Категория:Вануату
Grup:Korea	Категория:Корея
Templet:Country data Wels	Шаблон:Флагификация/Уэльс
Templet:Ref-info	Шаблон:Ref-info
Templet:Country data Papua Niugini	Шаблон:Флагификация/Папуа — Новая Гвинея
Grup:Papua Niugini	Категория:Папуа — Новая Гвинея
Grup:Ol kantri long Pasifik	Категория:Страны Океании
Grup:Ol kantri long Not Amerika	Категория:Страны Северной Америки
Grup:Ol tokples bilong Yurop	Категория:Языки Европы
Grup:Ol maunten bilong Papua Niugini	Категория:Горы Папуа — Новой Гвинеи
Templet:Incubator	Шаблон:Инкубатор
Grup:Ol Abus	Категория:Животные
Grup:Ol kantri long Saut Amerika	Категория:Страны Южной Америки
Grup:Ol bokis bilong musik	Категория:Музыкальные инструменты
Grup:Piano	Категория:Фортепиано
Grup:Ol kapitol bilong kantri	Категория:Столицы государств
Grup:Akiolosi	Категория:Археология
Grup:Ilektrisiti	Категория:Электричество
Grup:Yusa pl	Категория:User pl
Grup:Famili	Категория:Семья
Templet:Infobokis Tokples	Шаблон:Язык
Grup:Osenia	Категория:Океания
Grup:Ol tokples bilong Osenia	Категория:Языки Австралии и Океании
Grup:Ol kapitol bilong Not Amerika	Категория:Столицы североамериканских государств
Grup:Ol ailan bilong Papua Niugini	Категория:Острова Папуа — Новой Гвинеи
Grup:Kalsa bilong Papua Niugini	Категория:Культура Папуа — Новой Гвинеи
Grup:Ol kapitol bilong Yurop	Категория:Столицы европейских государств
Grup:Ol kapitol bilong Esia	Категория:Столицы азиатских государств
Grup:Ol tokples bilong Vanuatu	Категория:Языки Вануату
Grup:Ol tokples bilong Papua Niugini	Категория:Языки Папуа — Новой Гвинеи
Templet:CompactTOC	Шаблон:CompactTOC8
Templet:FOTW	Шаблон:FOTW
Templet:NUMBEROF	Шаблон:NUMBEROF
Templet:WAL	Шаблон:WAL
Templet:Country data Spain	Шаблон:Флагификация/Испания
Templet:PD-old-100	Шаблон:PD-old-100
Templet:User info	Шаблон:User info
Templet:Country data Canada	Шаблон:Флагификация/Канада
Templet:Color box	Шаблон:Цветной прямоугольник
Templet:Country data Anguilla	Шаблон:Флагификация/Ангилья
Templet:Country data Cocos (Keeling) Islands	Шаблон:Флагификация/Кокосовые острова
Templet:Country data Isle of Man	Шаблон:Флагификация/Остров Мэн
Templet:Country data Singapore	Шаблон:Флагификация/Сингапур
Templet:Tok-pl	Шаблон:Lang-pl
Trojany	Трояны (Мазовецкое воеводство)
Grup:Ol kantri long Esia	Категория:Страны Азии
Templet:Tok-is	Шаблон:Lang-is
Templet:MasKalendar	Шаблон:Календарь на март
Templet:Sister	Шаблон:Sister
Grup:Bogenvil	Категория:Автономный регион Бугенвиль
Grup:Is Sepik	Категория:Восточный Сепик
Templet:Precision	Шаблон:Precision/tz
Grup:Aialan	Категория:Ирландия
Grup:Linux	Категория:Linux
Grup:Tebol bilong ol elemen	Категория:Периодическая система
Grup:Ol siti na taun bilong Vanuatu	Категория:Населённые пункты Вануату
Grup:León provins	Категория:Леон
Grup:Burgos provins	Категория:Бургос
Grup:Kala	Категория:Цвет
Grup:Ol yunit bilong taim	Категория:Единицы измерения времени
Grup:Alicante provins	Категория:Аликанте
Grup:Morobe	Категория:Моробе
Grup:Ol siti na taun bilong Brasil	Категория:Населённые пункты Бразилии
Grup:Ol siti na taun	Категория:Города
Templet:PD-textlogo	Шаблон:PD-textlogo
Grup:Yusa en-1	Категория:User en-1
Grup:Yusa de-1	Категория:User de-1
Templet:Nowrap begin	Шаблон:Nowrap begin
Templet:NUMBEROF/data	Шаблон:NUMBEROF/data
Templet:PD-author/mk	Шаблон:PD-author
Templet:PD-Ukraine	Шаблон:PD-Ukraine
Templet:PD-RU-exempt	Шаблон:PD-RU-exempt
Templet:Userbox-level	Участник:Box/Уровень
Templet:Start date	Шаблон:Start date
Templet:User hu-2	Шаблон:User hu-2
Templet:User hu-4	Шаблон:User hu-4
Templet:User hu-3	Шаблон:User hu-3
Templet:1000	Шаблон:1000
Templet:PD-old	Шаблон:PD-old
Templet:Yunaitet Kingdom ol konstituent na afiliesion	Шаблон:Соединённое Королевство
Templet:Style/IPA	Шаблон:Style/IPA
Templet:Style/yid	Шаблон:Style/yid
Templet:User bi-1	Шаблон:User bi-1
Templet:Country data Cameroon	Шаблон:Флагификация/Камерун
Sipesol:Nupela senis	Служебная:Свежие правки
