Africa	Африка
Manius Acilius Aviola (consul 54)	Маний Ацилий Авиола (консул 54 года)
Lucius Acilius Strabo	Луций Ацилий Страбон
Gaius Iulius Asper	Гай Юлий Аспер
Gaius Antistius Vetus (consul 23)	Гай Антистий Вет (консул 23 года)
Lucius Cornelius Sulla Felix (consul 33)	Луций Корнелий Сулла Феликс (консул 33 года)
Publius Cornelius Lentulus Scipio (consul 2)	Публий Корнелий Лентул Сципион (консул-суффект 2 года)
Publius Coelius Balbinus Vibullius Pius	Публий Целий Бальбин Вибуллий Пий
Periodus archaica dynastica Sumeria	Раннединастический период в Южной Месопотамии
Ioannes Petrus Abel-Rémusat	Абель-Ремюза, Жан-Пьер
Ioannes Olorunfemi Onaiyekan	Онаийекан, Джон Олорунфеми
Marcus Aufidius Fronto	Марк Ауфидий Фронтон
Caerimonia coffei	Кофейная церемония
Nicodemus Sippo	Сиппо, Теэму
Arusianus Messius	Арузиан Мессий
Arbanitae	Арнауты
636 a.C.n.	636 год до н. э.
Nicolaus Laurentius Burmannus	Бурман, Николас
701 a.C.n.	701 год до н. э.
Russell Tovey	Тови, Рассел
Isengard	Изенгард
Ioannes Colettes	Колеттис, Иоаннис
Marcus Lollius Paullinus Decimus Valerius Asiaticus Saturninus	Марк Лоллий Паулин Валерий Азиатик Сатурнин
Sextus Quintilius Condianus	Секст Квинтилий Кондиан (консул 151 года)
Plautius Quintillus	Плавтий Квинтилл
Braulius Rodríguez Plaza	Родригес Пласа, Браулио
Thor (Marvel Comics)	Тор (Marvel Comics)
Gnaeus Claudius Severus Arabianus	Гней Клавдий Север Арабиан
Theodorus Cassidy	Кэссиди, Тед
6904 McGill	(6904) Макгилл
Nicolaus de Albergatis	Альбергати, Николо
Paulus Schilling	Шиллинг, Павел Львович
Arya Samaj	Арья-самадж
Theodorus Steeg	Стег, Теодор
696 a.C.n.	696 год до н. э.
639 a.C.n.	639 год до н. э.
Possidius Calamensis	Поссидий Каламский
Decimus Iunius Brutus Callaicus	Децим Юний Брут Каллаик
Marcus Fulvius Nobilior (consul 189 a.C.n.)	Марк Фульвий Нобилиор
6924 Fukui	(6924) Фукуи
Titus Manlius T.f. Torquatus (consul 235 a.C.n.)	Тит Манлий Торкват (консул 235 года до н. э.)
Manius Manilius Nepos	Маний Манилий
Gaius Sallustius Passienus Crispus	Гай Саллюстий Крисп Пассиен
Ludovicus Lansana Béavogui	Беавоги, Луи Лансана
Petrus Velarde	Веларде, Педро
Brisingr	Эрагон. Брисингр
Shlomo Sand	Занд, Шломо
Rogerius Ricci	Риччи, Руджеро
Dinosaurorum index	Список динозавров
Servius Calpurnius Domitius Dexter	Сервий Кальпурний Домиций Декстер
Flavius Hypatius	Флавий Гипатий (консул 359 года)
Tiberius Manilius Fuscus	Тиберий Манилий Фуск
Publius Baebius Italicus	Публий Бебий Италик
Titus Statilius Taurus (consul 11)	Тит Статилий Тавр (консул 11 года)
Guillelmus de la Mare	Ла Мар, Уильям де
Raimundus Manco	Манко, Реймонд
Gregorius Petrus Agagianian	Агаджанян, Григорий-Пётр
Ioannes Ephesius	Иоанн Эфесский
Leonillus Tertis	Тертис, Лайонел
Ferdinandus Sarrien	Саррьен, Фердинанд
Lucius Tiberius Claudius Pompeianus	Луций Тиберий Клавдий Помпеян
Gnaeus Cornelius P.f. Blasio	Гней Корнелий Блазион
Mauritius Malpas	Молпас, Морис
Theatrum belli	Театр военных действий
Titus Statilius Taurus Corvinus	Тит Статилий Тавр Корвин
Titus Statilius Taurus (consul 44)	Тит Статилий Тавр (консул 44 года)
Gaius Oppius Sabinus	Гай Оппий Сабин
Paulinus (consul 277)	Паулин (консул 277 года)
Ichigo Kurosaki	Ичиго Куросаки
698 a.C.n.	698 год до н. э.
686 a.C.n.	686 год до н. э.
634 a.C.n.	634 год до н. э.
Khuang Abhaiwongse	Апхайвонг, Кхуанг
Gossypium (genus)	Хлопчатник
Coruscant	Корусант
Centum celeberrimae pelliculae	100 лучших американских фильмов за 100 лет по версии AFI
Basilius Rozanov	Розанов, Василий Васильевич
Stephanus Gardiner	Гардинер, Стефан
Gerardus Cooreman	Кореман, Жерар
Collectivitas Transmarina Francica	Заморское сообщество
Angmar	Ангмар
Nostra Domina Fatimae	Фатимские явления Девы Марии
Michael Kelly	Келли, Майкл
Pribesthlabus Vujčić	Вуйчич, Првослав
Rune Almenning Jarstein	Ярстейн, Руне
Saccharomyces cerevisiae	Saccharomyces cerevisiae
635 a.C.n.	635 год до н. э.
Frode Kippe	Киппе, Фроде
Ed, Edd n Eddy	Эд, Эдд и Эдди
633 a.C.n.	633 год до н. э.
658 a.C.n.	658 год до н. э.
Concilium Lateranense Quartum	Четвёртый Латеранский собор
Nahavand	Нехавенд
Temperatura Planckiana	Планковская температура
655 a.C.n.	655 год до н. э.
702 a.C.n.	702 год до н. э.
Barbarismus	Варваризм
Decameron (pellicula)	Декамерон (фильм)
Vincentius Paglia	Палья, Винченцо
Ioannes Adams Dix	Дикс, Джон Адамс
Uğur Yücel	Юджел, Уур
Lucius Cornelius Cinna (consul 127 a.C.n.)	Луций Корнелий Цинна (консул 127 года до н. э.)
Ioannes Cody	Коди, Джон Патрик
Fulvius Pius	Фульвий Пий
Vettius Gratus	Веттий Грат
Herodorus Heracleotes	Геродор
Morley Isaac Griswold	Гризуолд, Морли
Hyssopus	Иссоп
Publius Postumius Q.f. Tubertus	Публий Постумий Туберт
Gaius Maesius Titianus	Гай Месий Титиан
Lucius Passienus Rufus	Луций Пассиен Руф
Ioannes Antonius Barrasso	Баррассо, Джон
Iacobus Graves Scrugham	Скрухэм, Джеймс
Peltastae	Пельтасты
Georgius Stoneman	Стоунман, Джордж
Iacobus Franciscus Stephens	Стивенс, Джеймс Френсис
Franciscus Coccopalmerio	Коккопальмерио, Франческо
Babe (pellicula)	Бэйб: Четвероногий малыш
Centena milia	100 000 (число)
Ioannes Winthrop	Уинтроп, Джон
Gaius Aquilius	Гай Аквилий Туск
Iacobus Kelman	Келман, Джеймс
Quintus Fabius Maximus Allobrogicus	Квинт Фабий Максим Аллоброгик
Quintus Fabius Maximus Eburnus	Квинт Фабий Максим Эбурн
Moismus	Моизм
Theodorus Teodorov	Теодоров, Теодор
Hacıkemaleddinoğlu Alaeddin Pascha	Алаэддин-паша
Theodorus Burmov	Бурмов, Тодор Стоянов
Septingenti	700 (число)
Ioannes Ivanov Bagrianov	Багрянов, Иван Иванов
Roma città aperta	Рим, открытый город
Vitalis Solomin	Соломин, Виталий Мефодьевич
Gaius Appius Iunius Silanus	Гай Аппий Юний Силан
Péreille	Перей
Ioannes Baptista Christophorus Fusée Aublet	Обле, Жан Батист Кристиан
Rigobertus Bonne	Бонне, Ригобер
Linguae Algicae	Алгские языки
Franciscus Monterisi	Монтеризи, Франческо
Marcus Ceionius Silvanus	Марк Цейоний Сильван
Aria de capite	Ария da capo
Ioannes Baptista Treilhard	Трельяр, Жан-Батист
Flavius Rufius Gennadius Probus Orestes	Флавий Руфий Геннадий Проб Орест
Iulius Vandenpeereboom	Ванденперебом, Жюль
Paulus de Smet de Naeyer	Де Смет де Нейер, Поль
Iulius de Trooz	Де Троз, Жюль
Franciscus Manuel Blanco	Бланко, Франсиско Мануэль
Robertus de Cursone	Керзон, Роберт
Lucius Publilius Celsus	Луций Публилий Цельс
Diario Frontera	Diario Frontera
Thomas Stone	Стоун, Томас
Aloysius Alamanni	Аламанни, Луиджи
Ferri oxida	Оксиды железа
Nicolaus Eduardus Brown	Браун, Николас Эдвард
Endocardium	Эндокард
Iacobus Risch	Риш, Джим
Marcus Horatius M.f. Pulvillus	Марк Гораций Пульвилл
1997 Leverrier	(1997) Леверье
1638 Ruanda	(1638) Руанда
Servius Cornelius P.f. Maluginensis	Сервий Корнелий Малугинен
Mixtella	Креплёное вино
The World's End	Армагеддец
659 a.C.n.	659 год до н. э.
Francheval	Франшваль
Prairie Wind	Prairie Wind
Philippus Callimachus Experiens	Каллимах, Филипп
Gaius Asinius Lepidus Praetextatus	Гай Азиний Лепид Претекстат
Pouru-Saint-Remy	Пурю-Сен-Реми
Vandy (Arduenna)	Ванди (коммуна)
La Moncelle	Ла-Монсель
Longwé	Лонве
Terron-sur-Aisne	Террон-сюр-Эн
Balan (Arduennae)	Балан (Восточный Седан)
Contreuve	Контрёв
Ioannes Dominicus Romagnosi	Романьози, Джованни Доменико
Historia Augusta	Авторы жизнеописаний Августов
Constantinus Aksakov	Аксаков, Константин Сергеевич
371 Bohemia	(371) Богемия
Aequatio magistrix	Основное кинетическое уравнение
Michael Winner	Уиннер, Майкл
Erythrae (Ionia)	Эрифры
Aulus Postumius Albinus (consul 99 a.C.n.)	Авл Постумий Альбин (консул 99 года до н. э.)
Flavius Anicius Maximus	Флавий Аниций Максим
Ascot	Аскот
Ludovicus Eduardus Bureau	Бюро, Луи Эдуар
Flavius Decius Iunior	Флавий Деций Юниор
Titus Didius	Тит Дидий
Ascó	Аско (Испания)
Publius Cornelius Cn.f. Rufinus	Публий Корнелий Руфин
Academia Britannica	Британская академия
Petrus II Sabaudiae	Пьер II (граф Савойи)
Marius Luzi	Луци, Марио
Septimania	Септимания
Ludovicus Halévy	Галеви, Людовик
Tertia dynastia Ur	Третья династия Ура
Carolus Albertus Dalla Chiesa	Далла Кьеза, Карло Альберто
Bonifacius Sabaudiae	Бонифаций I (граф Савойи)
Vincentius Monti	Монти, Винченцо
Henricus Meilhac	Мельяк, Анри
Torricellii cornu	Парадокс маляра
Tatooine	Татуин
Leopoldus Iosephus Brenes Solórzano	Бренес Солорсано, Леопольдо Хосе
Orfeo ed Euridice	Орфей и Эвридика (опера Глюка)
Proscriptio	Проскрипция
Catuna	Катунь
Arcus Titi	Триумфальная арка Тита
Don Pasquale	Дон Паскуале
L'Orfeo	Орфей (опера)
Nuri Bilge Ceylan	Джейлан, Нури Бильге
St Ives (Cornubia)	Сент-Айвс
Iulianus Semënov	Семёнов, Юлиан Семёнович
Congridae	Конгеровые
Michael Svetlov	Светлов, Михаил Аркадьевич
Arrans	Арран (Кот-д’Ор)
Asnières-en-Montagne	Аньер-ан-Монтань
Benoisey	Бенуазе
Buffon (Clivus Aureus)	Бюффон (Кот-д’Ор)
Champ-d'Oiseau	Шан-д’Уазо
Courcelles-lès-Montbard	Курсель-ле-Монбар
Gasto Bonnier	Боннье, Гастон
Éringes	Эренж
Fresnes (Clivus Aureus)	Френ (Кот-д’Ор)
Lucenay-le-Duc	Люсне-ле-Дюк
Marmagne (Clivus Aureus)	Мармань (Кот-д’Ор)
Petrus Riario	Риарио, Пьетро
Mr. Lordi	Путаансуу, Томи
Geraldus Cinthius	Чинтио, Джиральди
Danaides	Данаиды
Consilium salutis publicae	Комитет общественного спасения
Spiralis logarithmica	Логарифмическая спираль
OpenTTD	OpenTTD
Ashes (criccetius lusus)	Эшес
Montigny-Montfort	Монтиньи-Монфор
Cracidae	Краксы
Sarcoma Kaposianum	Саркома Капоши
Moutiers-Saint-Jean	Мутье-Сен-Жан
Sepulcrum Cestii	Пирамида Цестия
Primi ministri Bulgariae	Список премьер-министров Болгарии
Praelatus	Прелат
Silvanus Lévi	Леви, Сильвен
Peristylium	Перистиль
NGC 6826	Мерцающая туманность
Scalae longae et breves	Системы наименования чисел
Quincerot (Clivus Aureus)	Кенсеро (Кот-д’Ор)
Nunc dimittis	Песнь Симеона Богоприимца
Gualtherius Damrosch	Дамрош, Вальтер
Iulius Iosephus d’Anethan	Д’Анетан, Жюль
Eadmer	Эдмер
Quincy-le-Vicomte	Кенси-ле-Виконт
Gnaeus Domitius Ahenobarbus (consul 162 a.C.n.)	Гней Домиций Агенобарб (консул 162 года до н. э.)
Leo Allatius	Аллаций, Лев
Carolus de Brosses	Шарль де Бросс
Mahamat-Saleh Haroun	Харун, Махамат Салех
Ioannes Artusi	Артузи, Джованни
Rougemont (Clivus Aureus)	Ружмон (Кот-д’Ор)
Petrus Otthobonus	Оттобони, Пьетро
Ronaldus Stuart Thomas	Томас, Роналд Стюарт
Fridericus Lombardi	Ломбарди, Федерико
Pherecydes Lerius	Ферекид Леросский
Ricardus Broschi	Броски, Риккардо
Ibrahima Yattara	Яттара, Ибрагим
Victorinus Feltrensis	Витторино да Фельтре
Puncta Stagni	Пелешац
Senailly	Сенайи
Touillon	Туйон (Кот-д’Ор)
Turma Nationalis Pedilusoria Russica	Сборная России по футболу
Minus Martinazzoli	Мартинаццоли, Мино
Iacobus Rebhorn	Ребхорн, Джеймс
Setonix	Квокка
Orbelus	Пирин
Interregnum Ottomanicum	Османское междуцарствие
Doris (mythologia)	Дорида (океанида)
Franciscus Chabot	Шабо, Франсуа
Sergius (patriarcha Moscuensis)	Сергий (Патриарх Московский)
Die Traumdeutung	Толкование сновидений
Cardinalis cardinalis	Красный кардинал
703 a.C.n.	703 год до н. э.
Mérigon	Меригон
Patera Pulvis	Пыльный котёл
Belleau (Murta et Mosella)	Белло (Мёрт и Мозель)
Boloria	Болории
Universitas Redonensis I	Университет Ренн I
Villeneuve-du-Latou	Вильнёв-дю-Лату
Hérouvillette	Эрувиллет
Pluto	Плуто (значения)
Orozco (Biscaia)	Ороско (муниципалитет)
Senecio Memmius Afer	Сенецион Меммий Афр
Laicus	Мирянин
Monasterium Dochiarii	Дохиар
B (sonus)	Си (нота)
Epocha Ladinica	Ладинский ярус
Le Mesnil-Eudes	Ле-Мениль-Эд
Ludovicus Mordell	Морделл, Луис Джоэл
Heteroconger	Гетероконгеры
Cotabato (urbs)	Котабато (город)
Boncourt (Murta et Mosella)	Бонкур (Мёрт и Мозель)
Stadium Olympicum Holmiense	Олимпийский стадион (Стокгольм)
Henricus Prat de la Riba	Прат-де-ла-Риба, Анрик
Villy-Bocage	Вилли-Бокаж
Vestfirðir	Вестфирдир
Rozières-sur-Crise	Розьер-сюр-Криз
Rumiliacum ad Sequanam	Ромийи-сюр-Сен
Hieronymus de Zurita y Castro	Сурита-и-Кастро, Херонимо
Manneville-la-Pipard	Манвиль-ла-Пипар
Poggio-Mezzana	Поджо-Меццана
Rigveda	Ригведа
Universitas KwaZulu-Natal	Университет Квазулу-Натал
Gulielmus Abney	Эбней, Уильям де Уайвлесли
Gaius Ateius Capito	Гай Атей Капитон (юрист)
Ioannes Baptista Carrier	Каррье, Жан-Батист
Encytus	Чуррос
Tifernus	Биферно
Lingua Mandarinica normalis	Путунхуа
Gulielmus Thomas Raynal	Рейналь, Гийом Тома
Chaetoptila angustipluma	Киоеа
Nicola	Никола (значения)
Mauricius de Soliaco	Морис де Сюлли
Opus Mariae	Фоколяры
Elizabeth: The Golden Age	Золотой век (фильм, 2007)
Compromissum Missuriense	Миссурийский компромисс
The A.B.C. Murders	Убийства по алфавиту
Gianni Schicchi	Джанни Скикки
Venus Urbinas	Венера Урбинская
Bibliotheca Shakesperiana Folger	Шекспировская библиотека Фолджера
Gaspésie–Îles-de-la-Madeleine	Гаспези — Острова Мадлен
The Monster Show	The Monster Show
Trémargat	Тремаргат
Marcianus (episcopus Syracusanus)	Марциан Сиракузский
Grammatica universalis	Универсальная грамматика
Ioannes Theuninck	Тёнинк, Ян
Dicaeoma	Роялти
Lepidosauria	Лепидозавры
Moult (Calva Dorsa)	Муль (Кальвадос)
Andreas Fricius Modrevius	Фрич-Моджевский, Анджей
Insulae pancreaticae	Островки Лангерганса
Flavius Severinus	Флавий Северин
Charnoz-sur-Ain	Шарно-сюр-Эн
Marcus Antonius Raimondi	Раймонди, Маркантонио
The Pelican Brief (pellicula)	Дело о пеликанах (фильм)
Cardonville	Кардонвиль
Champ-sur-Barse	Шан-сюр-Барс
Religio Pantheia	Пантеизм
Nicolaus Triantaphyllacus	Триандафиллакос, Николаос
Eugenius Polivanov	Поливанов, Евгений Дмитриевич
Saint-André-lez-Lille	Сент-Андре-ле-Лилль
Iacobus Stephanus Hogg	Хогг, Джеймс Стивен
Dimont	Димон (коммуна)
Proelium ad Baeculam commissum	Битва при Бекуле
Euarchonta	Euarchonta
Praye	Прай (Франция)
Iosephus Di Vittorio	Ди Витторио, Джузеппе
Uzel	Юзель (Кот-д’Армор)
Linguae Ural-Altaicae	Урало-алтайская гипотеза
Chassy (Cher)	Шасси (Шер)
Annobón	Аннобон
Laicismus	Лаицизм
Playmate	Playmate
Nicolaus Sklifosovskij	Склифосовский, Николай Васильевич
Albertus Franciscus Blakeslee	Блексли, Алберт Фрэнсис
Malus sieversii	Яблоня Сиверса
Georgius Leygues	Лейг, Жорж
Misael Pastrana Borrero	Пастрана Борреро, Мисаэль
Gormenghast	Горменгаст
Heliopolis	Гелиополь
Spyridon Lamprus	Ламброс, Спиридон
Panages Tsaldares	Цалдарис, Панагис
Alexander Fortis	Фортис, Алессандро
Carceres secreti CIA	Секретные тюрьмы ЦРУ
Casparus Barlaeus	Барлеус, Каспар
Gaius Bruttius Praesens	Гай Бруттий Презент (консул 217 года)
Marcus Papius Mutilus	Марк Папий Мутил
Ioachim Heer	Хеер, Йоахим
Broadway Danny Rose	Бродвей Дэнни Роуз
Ludovicus Carolus Farini	Фарини, Луиджи Карло
Zeta (genus)	Zeta (животное)
Gaddo Gaddi	Гадди, Гаддо
Stellae Monocerotis	Список звёзд созвездия Единорога
Gulielmus Paterson (iudex)	Патерсон, Уильям (юрист)
Sixtus Badalocchio	Бадалоккио
Ioannes Lucas Lagarce	Лагарс, Жан-Люк
Marcus Lollius	Марк Лоллий (консул 21 года до н. э.)
Roussines (Andra)	Руссин (Эндр)
Eni Fa'aua'a Hunkin Faleomavaega	Фалеомаваега, Ени
Ecclesia de Eucharistia	Ecclesia de Eucharistia
Patricius Iosephus Hayes	Хейс, Патрик Джозеф
712 a.C.n.	712 год до н. э.
Horologium Astronomicum Pragense	Пражские куранты
Seleucia	Селевкия (значения)
Kurosawaia	Kurosawaia
Michael II Comnenus Ducas	Михаил II Комнин Дука
Onychogalea lunata	Луннокоготный кенгуру
Calanhel	Каланель
Ceolwulfus Northumbriensis	Кеолвулф
Saint-Andeux	Сент-Андё
Ioannes III (imperator Trapezuntinus)	Иоанн III Великий Комнин
Edmundus (rex Scotiae)	Эдмунд (король Шотландии)
Valentinus Conrart	Конрар, Валантэн
Gémonville	Жемонвиль
La figlia del reggimento	Дочь полка
Edmundus Jackson Davis	Дэвис, Эдмунд
Vidula	Вель (приток Эны)
Carolina	Каролина
Sollicitudo rei socialis	Sollicitudo Rei Socialis
Sauvagny	Сованьи
Franciscus Alphonsus Bourne	Борн, Фрэнсис Альфонс
Carolus da Cunha e Menezes	Кунья-и-Менезеш, Карлуш да
Sallenelles	Сальнель
Furius Colombo	Коломбо, Фурио
Alexius Šachmatov	Шахматов, Алексей Александрович
Georgius de Ambacia	Амбуаз, Жорж
A Caribbean Mystery	Карибская тайна
2323 Zverev	(2323) Зверев
Graphocephala	Graphocephala
Vincentius Voiture	Вуатюр, Венсан
Congregatio de Institutione Catholica (de Seminariis atque Studiorum Institutis)	Конгрегация католического образования
Love Story	История любви (фильм, 1970)
Barberà de la Conca	Барбера-де-ла-Конка
Rocafort de Queralt	Рокафорт-де-Керальт
Grossouvre	Гроссувр
Shuji Nakamura	Накамура, Сюдзи
Petrus Boetto	Боэтто, Пьетро
Otto Wichterle	Вихтерле, Отто
Res Publica Epiri Septentrionalis	Автономная Республика Северного Эпира
Magny-la-Ville	Маньи-ла-Виль
Cymbeline	Цимбелин
Nicolaus Fago	Фаго, Никола
Gevrolles	Жевроль
Michael Pugovkin	Пуговкин, Михаил Иванович
Georgius Arnott Walker Arnott	Арнотт, Джордж Арнотт
Popolasca	Пополаска
Ioannes Gilbertus Baker	Бейкер, Джон Гилберт
Villeneuve-du-Paréage	Вильнёв-дю-Пареаж
Rectio Francisci Fillon II	Правительство Фийона (2)
Moratorium	Мораторий (право)
Gaius Sulpicius Galba	Гай Сульпиций Гальба (консул 22 года)
Foederatio Internationalis pro Iuribus Humanis	Международная федерация за права человека
Nicolaus Niccoli	Никколи, Никколо
Thomas Linacrius	Линакр, Томас
Proelium apud Myriocephalum	Битва при Мириокефале
Mahometus Khouna Ould Haidalla	Хейдалла, Мохаммед Хуна ульд
Gravissimum Educationis	Gravissimum Educationis
Ruffec (Carantonus)	Рюффек (Шаранта)
Southwark (burgus)	Саутуарк (боро Лондона)
Nové Zámky (circulus)	Нове-Замки (район)
Aselenum	Гьона
Valuéjols	Валюэжоль
Bosseval-et-Briancourt	Босваль-э-Брианкур
Stellae Ceti	Список звёзд созвездия Кита
Contagion	Заражение (фильм, 2011)
Caietanus Salvemini	Сальвемини, Гаэтано
Michael Isakovskij	Исаковский, Михаил Васильевич
Patricius (comes Saresberiensis)	Патрик, 1-й граф Солсбери
Hortus Plantarum (Lutetia)	Сад растений (Париж)
Publius Galerius Trachalus	Публий Галерий Трахал
739 a.C.n.	739 год до н. э.
Ioannes Baptista Pirelli	Пирелли, Джованни Батиста
Filastrius (episcopus Brixiensis)	Филастрий
Museum Getty	Музей Гетти
Teissières-de-Cornet	Тесьер-де-Корне
Emmanuel Tsuderus	Цудерос, Эммануил
Sea Shepherd Conservation Society	Общество охраны морской фауны
Love My Way	Люби, как я хочу
Virgohamna	Виргохамна
Gerundivum	Герундив
Laféline	Лафелин
Manhattan (pellicula)	Манхэттен (фильм)
Promunturium Trete	Палос
Cuc	Кубинское конвертируемое песо
958 Asplinda	(958) Асплинда
Treccani	Итальянская энциклопедия
Guillelmus Marescallus (comes II Penbrochiae)	Уильям Маршал, 2-й граф Пембрук
Ursicinus	Урсицин
OXO	OXO
Nepenthes	Непенф
San-Nicolao	Сан-Николао
Gaius Cassius Longinus (consul 96 a.C.n.)	Гай Кассий Лонгин (консул 96 года до н. э.)
Praemium Strega	Премия Стрега
Provinciae Maritimae	Приморские провинции
Mons Vernonius	Маунт-Вернон
Bree	Пригорье
Arvoniensis comitatus	Карнарвоншир
Marcus Acilius Glabrio	Марк Ацилий Глабрион (консул 256 года)
Dinicu Golescu	Динику Голеску
Lacus Culundinensis	Кулундинское озеро
Pradinas	Прадина
Hypocaustum	Гипокауст
Le Mesnil-Germain	Ле-Мениль-Жермен
Georgius Bentham	Бентам, Джордж
Christianus Snouck Hurgronje	Снук Гюрхронье, Христиан
Congregatio pro Episcopis	Конгрегация по делам епископов
Mailley-et-Chazelot	Майе-э-Шазло
Panarion	Панарион
Modus (musica)	Лад (музыка)
Émiéville	Эмьевиль
Creon	Креонт (царь Фив)
Taglio-Isolaccio	Тальо-Изолаччо
Durangum (Biscaia)	Дуранго (Бискайя)
Tiradelphe schneideri	Тирадельфея Шнейдера
Mons Serratus	Монсеррат (гора)
Montigny-lès-Condé	Монтиньи-ле-Конде
Vasa sacra	Священные сосуды
Rumilly-lès-Vaudes	Рюмийи-ле-Вод
Artigues (Arigia)	Артиг (Арьеж)
Ecclesia paroecialis Sancti Iacobi Apostoli (Tequixquiac)	Церковь Святого Иакова (Текискьяк)
Nomarcha	Номарх
Lopigna	Лопинья
Ferraria (Litora ad Mare)	Ла-Ферьер (Кот-д’Армор)
Châtillon-Coligny	Шатийон-Колиньи
Iosephus Eugenius Soares	Жо Соарес
Marcus Antonius Trevisan	Тривизани, Маркантонио
Goviller	Говиллер
2112 Ulyanov	(2112) Ульянов
Trebia	Треббия
Antras (Aegirtius)	Антрас (Жер)
Escales	Эскаль
Via Aemilia	Эмилиева дорога
Saint-Martin-des-Puits	Сен-Мартен-де-Пюи
Auzas	Озас
Epocha Barremensis	Барремский ярус
Estaires	Эстер (Нор)
Bruslata	Бурлада
Vignats	Винья
Statio Tranquillitatis	База Спокойствия
Romaninus	Романино, Джироламо
Les Authieux-sur-Calonne	Лез-Отьё-сюр-Калон
Garay	Гарай (Бискайя)
Concilium Constantinopolitanum Quartum (Catholicum)	Четвёртый Константинопольский собор (869—870)
Marcus Iunius Maximus	Марк Юний Максим
Iulius Tremonti	Тремонти, Джулио
Biblia Hebraica	Еврейская Библия
Glonville	Глонвиль
Cem Yılmaz	Йылмаз, Джем
Manuel Ignatius de Vivanco	Виванко, Мануэль Игнасио де
Proto-World	Прамировой язык
Societas vitae apostolicae	Общество апостольской жизни
Tributum Robin Hood	Налог Робин Гуда
Maubec (Vallis Clausa)	Мобек (Воклюз)
Poullignac	Пуллиньяк
Urcel	Юрсель
Gabriel Cichero	Сичеро, Габриэль
Esme Howard	Ховард, Эсме
Calenzana	Каленцана
Treffort-Cuisiat	Треффор-Кюизья
Pugna Coronensis (394 a.C.n.)	Битва при Коронее (394 до н. э.)
Vabra	Вабр-л’Аббеи
Moyses Haim Montefiore	Монтефиоре, Мозес
Iacobus Cosmo	Космо, Джеймс
Méry-Corbon	Мери-Корбон
Vézelise	Везлиз
Myjava (circulus)	Миява (район)
Petrus de Burdelia (abbas Brantosmensis)	Брантом, Пьер де Бурдейль
Ned Rorem	Рорем, Нед
Villerupt	Вильрю
Asmodeus	Асмодей
Hippolytus Nievo	Ньево, Ипполито
Carolus Ruzzini	Руццини, Карло
Liber Usualis	Liber usualis
Philippus Turati	Турати, Филиппо
Gattamelata	Нарни, Эразмо да
Amphisbaenidae	Амфисбеновые
Elbovium	Эльбёф
Codex Leningradensis	Ленинградский кодекс
Alfredus Ildefonsus Schuster	Шустер, Альфредо Ильдефонсо
Michael Zévaco	Зевако, Мишель
Epocha Cimmerigiensis	Киммериджский ярус
Crevans-et-la-Chapelle-lès-Granges	Креван-э-ла-Шапель-ле-Гранж
A Place in the Sun	Место под солнцем (фильм, 1951)
Cards on the Table	Карты на стол
Saso	Сазани
Ordo Sanctae Clarae	Клариссинки
Regnum Ghassanidarum	Гассаниды
Match Point	Матч-пойнт (фильм)
Cognat-Lyonne	Конья-Льон
Duran (Aegirtius)	Дюран (коммуна)
Mons Aso	Асо (гора)
Michael Smith (persona Doctor Who)	Микки Смит
Terraemotus Beroensis anni 1138	Землетрясение в Алеппо
Saint-Clément-des-Baleines	Сен-Клеман-де-Бален
Le Bois-Plage-en-Ré	Ле-Буа-Плаж-ан-Ре
Monachus	Монах
Regnum Hwicciorum	Хвикке
Fountains of Wayne	Fountains of Wayne
Elias Sarkis	Саркис, Ильяс
Cellettes (Carantonus)	Селлет (Шаранта)
Basilica Sanctae Praxedis	Санта-Прасседе
Cathedra Petri (artificium)	Кафедра Святого Петра
Yankee Doodle	Янки-дудл
Abune Paulus	Абуна Павел
Cyrillus VI Papa	Кирилл VI Александрийский
Boisset (Mons Celtorum)	Буассе (Канталь)
Rots	Ро (Кальвадос)
Res gestae Divi Augusti	Деяния божественного Августа
Urdúliz	Урдулис
Plurien	Плюрьен
Maximilianus	Максимилиан
Tilly-la-Campagne	Тийи-ла-Кампань
Garnerans	Гарнеран
Epocha Altaripensis	Готеривский ярус
Nicolaus Marcello	Марчелло, Николо
Colombiers (Carantonus Maritimus)	Коломбье (Приморская Шаранта)
9674 Slovenija	(9674) Словения
Noyant-et-Aconin	Нуайян-э-Аконен
Beatrix (praenomen)	Беатриса
Nougaroulet	Нугарулет
Vallis Camunnorum	Валь-Камоника
Collegium Carolinum	Брауншвейгский технический университет
Serain	Серен (коммуна)
Lorica Lusitanorum	Лорига
Aglaia	Аглайя
Gulielmus Bullitt	Буллит, Уильям
Cristinacce	Кристиначе
2233 Kuznetsov	(2233) Кузнецов
Evangelium veritatis	Евангелие Истины
Mauritania Caesariensis	Мавретания Цезарейская
Maizet	Мезе (Кальвадос)
Ochandiano	Очандьяно
Ocha	Охи
Ségur-les-Villas	Сегюр-ле-Вилла
Peyrusse	Перюс
Ordo Compositus	Композитный ордер
Amanitaceae	Аманитовые
Soulangy	Суланжи (Кальвадос)
Salvagnac-Cajarc	Сальваньяк-Кажарк
The Big Four (mythistoria)	Большая четвёрка (роман)
Iustinianus Borgoño	Боргоньо, Хустиниано
Galanga	Калган
Tegan and Sara	Tegan and Sara
